phase,group,value
Exposure,"SMK
+abx",-43.8682
Exposure,"SMK
+abx",146.1703
Exposure,"SMK
+abx",31.3221
Exposure,"SMK
+abx",102.6015
Exposure,"SMK
+abx",101.1808
Exposure,"SMK
+abx",-9.1276
Exposure,"SMK
+abx",79.307
Exposure,"SMK
+abx",149.309
Exposure,"SMK
+abx",84.9589
Exposure,"SMK
+abx",-177.5115
Exposure,"SMK
+abx",134.645
Exposure,"SMK
+abx",153.5767
Exposure,"SMK
+abx",-9.8571
Exposure,"SMK
+abx",-94.4526
Exposure,"SMK
+abx",19.0809
Exposure,"SMK
+abx",-82.6086
Exposure,"SMK
+abx",132.9884
Exposure,"SMK
+abx",147.6222
Exposure,"SMK
+abx",226.2633
Exposure,"SMK
+abx",1.1811
Exposure,"SMK
+abx",-9.4654
Exposure,"SMK
+abx",66.0782
Exposure,"SMK
+abx",101.9044
Exposure,"SMK
+abx",60.6903
Exposure,"SMK
+abx",-91.3914
Exposure,"SMK
+abx",35.5628
Exposure,"SMK
+abx",82.1861
Exposure,"SMK
+abx",-50.037
Exposure,"SMK
+abx",-10.4506
Exposure,"SMK
+abx",-118.8048
Exposure,"SMK
+abx",-8.1787
Exposure,"SMK
+abx",40.3414
Exposure,"SMK
+abx",-50.8242
Exposure,"SMK
+abx",103.9711
Exposure,"SMK
+abx",-132.449
Exposure,"SMK
+abx",163.8116
Exposure,"SMK
+abx",78.1184
Exposure,"SMK
+abx",32.9822
Exposure,"SMK
+abx",169.6402
Cessation,"Non-
SMK",138.8467
Cessation,"Non-
SMK",69.7906
Cessation,"Non-
SMK",117.8381
Cessation,"Non-
SMK",67.4208
Cessation,"Non-
SMK",35.8275
Cessation,"Non-
SMK",144.108
Cessation,"Non-
SMK",22.8531
Cessation,"Non-
SMK",58.1533
Cessation,"Non-
SMK",81.9154
Cessation,"Non-
SMK",84.319
Cessation,"Non-
SMK",110.3882
Cessation,"Non-
SMK",92.2045
Cessation,"Non-
SMK",48.1404
Cessation,"Non-
SMK",97.9111
Cessation,"Non-
SMK",81.9398
Cessation,"Non-
SMK",62.6687
Cessation,"Non-
SMK",25.7533
Cessation,"Non-
SMK",109.7376
Cessation,"Non-
SMK",99.5085
Cessation,"Non-
SMK",77.5503
Cessation,"Non-
SMK",89.1944
Cessation,"Non-
SMK",-6.8717
Cessation,"Non-
SMK",93.006
Cessation,"Non-
SMK",107.9197
Cessation,"Non-
SMK",66.3594
Cessation,"Non-
SMK",18.9677
Cessation,"Non-
SMK",101.9569
Cessation,"Non-
SMK",105.7961
Cessation,"Non-
SMK",108.1208
Cessation,"Non-
SMK",38.7228
Cessation,"Non-
SMK",100.8074
Cessation,"Non-
SMK",50.1864
Cessation,"Non-
SMK",92.2551
Cessation,"Non-
SMK",74.5036
Cessation,"Non-
SMK",99.1302
Cessation,"Non-
SMK",87.0457
Cessation,"Non-
SMK",80.3668
Cessation,"Non-
SMK",62.9189
Cessation,"Non-
SMK",75.9232
Cessation,"Non-
SMK",100.2548
Cessation,"Non-
SMK",101.5388
Cessation,"Non-
SMK",84.6799
Cessation,"Non-
SMK",92.8998
Cessation,"Non-
SMK",55.3182
Cessation,"Non-
SMK",81.9019
Cessation,"Non-
SMK",58.9905
Cessation,"Non-
SMK",47.2788
Cessation,"Non-
SMK",48.8178
Cessation,"Non-
SMK",15.8985
Cessation,"Non-
SMK",52.3577
Cessation,SMK,201.9916
Cessation,SMK,110.7503
Cessation,SMK,177.507
Cessation,SMK,134.1236
Cessation,SMK,122.695
Cessation,SMK,208.7831
Cessation,SMK,172.3933
Cessation,SMK,116.6624
Cessation,SMK,229.965
Cessation,SMK,223.7122
Cessation,SMK,157.7325
Cessation,SMK,257.8263
Cessation,SMK,131.843
Cessation,SMK,178.3411
Cessation,SMK,103.9565
Cessation,SMK,145.3207
Cessation,SMK,135.2577
Cessation,SMK,171.4806
Cessation,SMK,163.3846
Cessation,SMK,158.118
Cessation,SMK,158.2599
Cessation,SMK,170.7828
Cessation,SMK,152.168
Cessation,SMK,178.0665
Cessation,SMK,173.8801
Cessation,SMK,139.803
Cessation,SMK,222.906
Cessation,SMK,145.2264
Cessation,SMK,152.5472
Cessation,SMK,179.8515
Cessation,SMK,186.572
Cessation,SMK,129.4129
Cessation,SMK,208.7353
Cessation,SMK,162.3439
Cessation,SMK,211.7352
Cessation,SMK,193.1034
Cessation,SMK,198.6302
Cessation,SMK,176.7445
Cessation,SMK,113.2405
Cessation,SMK,95.8509
Cessation,SMK,195.621
Cessation,SMK,128.0475
Cessation,SMK,178.6467
Cessation,SMK,178.2524
Cessation,SMK,220.2725
Cessation,SMK,172.709
Cessation,SMK,174.7141
Cessation,SMK,190.7329
Cessation,SMK,212.5788
Cessation,SMK,156.0006
Cessation,"Non-
SMK
+abx",134.1386
Cessation,"Non-
SMK
+abx",100.5782
Cessation,"Non-
SMK
+abx",92.9202
Cessation,"Non-
SMK
+abx",70.8722
Cessation,"Non-
SMK
+abx",101.2562
Cessation,"Non-
SMK
+abx",59.1086
Cessation,"Non-
SMK
+abx",125.5001
Cessation,"Non-
SMK
+abx",62.6948
Cessation,"Non-
SMK
+abx",107.2376
Cessation,"Non-
SMK
+abx",94.3032
Cessation,"Non-
SMK
+abx",53.9695
Cessation,"Non-
SMK
+abx",133.2116
Cessation,"Non-
SMK
+abx",89.1339
Cessation,"Non-
SMK
+abx",55.4081
Cessation,"Non-
SMK
+abx",135.4415
Cessation,"Non-
SMK
+abx",97.888
Cessation,"Non-
SMK
+abx",43.4754
Cessation,"Non-
SMK
+abx",128.1693
Cessation,"Non-
SMK
+abx",128.6647
Cessation,"Non-
SMK
+abx",89.8809
Cessation,"Non-
SMK
+abx",129.3617
Cessation,"Non-
SMK
+abx",102.2713
Cessation,"Non-
SMK
+abx",80.181
Cessation,"Non-
SMK
+abx",102.8989
Cessation,"Non-
SMK
+abx",44.439
Cessation,"Non-
SMK
+abx",76.5927
Cessation,"Non-
SMK
+abx",139.0289
Cessation,"Non-
SMK
+abx",101.4262
Cessation,"Non-
SMK
+abx",143.1599
Cessation,"Non-
SMK
+abx",147.6835
Cessation,"Non-
SMK
+abx",116.6296
Cessation,"Non-
SMK
+abx",57.7853
Cessation,"Non-
SMK
+abx",15.5692
Cessation,"Non-
SMK
+abx",116.6584
Cessation,"Non-
SMK
+abx",105.7332
Cessation,"Non-
SMK
+abx",72.8377
Cessation,"Non-
SMK
+abx",42.1777
Cessation,"Non-
SMK
+abx",101.6255
Cessation,"Non-
SMK
+abx",38.7636
Cessation,"Non-
SMK
+abx",127.7018
Cessation,"Non-
SMK
+abx",107.0854
Cessation,"Non-
SMK
+abx",93.96
Cessation,"Non-
SMK
+abx",108.7729
Cessation,"Non-
SMK
+abx",20.3077
Cessation,"Non-
SMK
+abx",101.9227
Cessation,"Non-
SMK
+abx",86.942
Cessation,"Non-
SMK
+abx",98.906
Cessation,"Non-
SMK
+abx",42.133
Cessation,"Non-
SMK
+abx",166.9773
Cessation,"Non-
SMK
+abx",52.0292
Cessation,"SMK
+abx",102.5111
Cessation,"SMK
+abx",109.1195
Cessation,"SMK
+abx",89.3209
Cessation,"SMK
+abx",148.0059
Cessation,"SMK
+abx",143.3057
Cessation,"SMK
+abx",122.789
Cessation,"SMK
+abx",101.4544
Cessation,"SMK
+abx",106.7723
Cessation,"SMK
+abx",80.8671
Cessation,"SMK
+abx",153.4328
Cessation,"SMK
+abx",118.1146
Cessation,"SMK
+abx",121.1065
Cessation,"SMK
+abx",96.9205
Cessation,"SMK
+abx",142.5203
Cessation,"SMK
+abx",129.4811
Cessation,"SMK
+abx",121.1267
Cessation,"SMK
+abx",49.3652
Cessation,"SMK
+abx",132.0399
Cessation,"SMK
+abx",172.7409
Cessation,"SMK
+abx",112.8645
Cessation,"SMK
+abx",92.799
Cessation,"SMK
+abx",103.3368
Cessation,"SMK
+abx",92.2142
Cessation,"SMK
+abx",138.7233
Cessation,"SMK
+abx",128.2509
Cessation,"SMK
+abx",145.1824
Cessation,"SMK
+abx",142.1835
Cessation,"SMK
+abx",140.6356
Cessation,"SMK
+abx",103.8918
Cessation,"SMK
+abx",101.5112
Cessation,"SMK
+abx",171.3456
Cessation,"SMK
+abx",65.4016
Cessation,"SMK
+abx",91.1389
Cessation,"SMK
+abx",126.9883
Cessation,"SMK
+abx",167.867
Cessation,"SMK
+abx",124.9254
Cessation,"SMK
+abx",140.7278
Cessation,"SMK
+abx",126.1577
Cessation,"SMK
+abx",137.5635
Cessation,"SMK
+abx",113.9479
Cessation,"SMK
+abx",103.1326
Cessation,"SMK
+abx",138.7197
Cessation,"SMK
+abx",162.5978
Cessation,"SMK
+abx",113.1832
Cessation,"SMK
+abx",103.4511
Cessation,"SMK
+abx",83.6994
Cessation,"SMK
+abx",72.2924
Cessation,"SMK
+abx",119.0458
Cessation,"SMK
+abx",150.3349
Cessation,"SMK
+abx",119.5072
