word_id,text,x,y,role,font_size,group
w091,Throw,331.0,87.0,word,2.7,Garbage
w092,Anxiety,388.0,100.5,word,2.7,Flags
w093,Depression,372.5,109.5,word,2.7,Flags
w094,Education,354.0,103.5,word,2.7,Flags
w095,Substance,371.5,86.5,word,2.7,Flags
w096,Symptom,384.0,77.5,word,2.7,Flags
w097,Sick,401.5,114.5,word,2.7,Health
w098,Disease,385.5,116.0,word,2.7,Health
w099,Infection,379.0,93.0,word,2.7,Health
w100,Anemia,399.5,93.5,word,2.7,Health
w101,Flu,436.0,105.5,word,2.7,Disease
w102,Virus,414.0,120.5,word,2.7,Disease
w103,Vaccine,412.5,100.0,word,2.7,Disease
w104,Fever,420.0,93.5,word,2.7,Disease
w105,Diabetes,434.5,100.0,word,2.7,Disease
w106,Hair,369.5,140.0,word,2.7,Skin
w107,Blood,338.5,133.0,word,2.7,Skin
w108,Throat,359.5,119.0,word,2.7,Skin
w109,Surgery,406.0,166.5,word,2.7,Doctor
w110,Cancer,381.5,153.0,word,2.7,Doctor
w111,Hospital,377.5,130.0,word,2.7,Doctor
w112,Disease,384.0,123.0,word,2.7,Doctor
w113,Aspirin,437.5,146.0,word,2.7,Medication
w114,Prescription,408.0,149.0,word,2.7,Medication
w115,Sedative,397.5,130.0,word,2.7,Medication
w116,Medicine,419.5,130.0,word,2.7,Medication
w117,Pill,440.0,134.5,word,2.7,Medication
w118,Face,360.5,175.0,word,2.7,Body
w119,Neck,350.0,177.0,word,2.7,Body
w120,Arm,325.5,168.5,word,2.7,Body
w121,Leg,315.0,135.5,word,2.7,Body
w122,Shoulder,360.0,144.5,word,2.7,Body
w123,Anatomy,362.0,167.5,word,2.7,Body
w124,Ball,300.0,177.5,word,2.7,Capacity
w125,Tail,253.5,163.5,word,2.7,Capacity
w126,Something,283.0,140.5,word,2.7,Capacity
w127,Ability,307.0,141.5,word,2.7,Capacity
w128,Stick,261.0,181.5,word,2.7,Tool
w129,Figure,250.5,187.0,word,2.7,Tool
w130,Weapon,270.0,154.5,word,2.7,Tool
w131,Freeze,320.5,173.5,word,2.7,Place
w132,Find,305.0,155.5,word,2.7,Place
w133,Family,314.5,161.5,word,2.7,Place
w134,Big,275.5,199.5,word,2.7,Animal
w135,Small,256.5,197.0,word,2.7,Animal
w136,Shape,252.5,158.0,word,2.7,Animal
w137,Body,288.5,155.0,word,2.7,Animal
w138,Coin,334.5,209.0,word,2.7,Money
w139,Bank,313.5,210.5,word,2.7,Money
w140,Borrow,325.0,201.5,word,2.7,Money
w141,Wage,330.5,182.5,word,2.7,Money
w142,Traffic,308.0,222.0,word,2.7,Car
w143,Block,282.0,219.5,word,2.7,Car
w144,Vehicle,296.5,191.0,word,2.7,Car
w145,Street,310.0,203.5,word,2.7,Car
w146,Walk,254.5,213.5,word,2.7,Movement
w147,Together,228.0,220.5,word,2.7,Movement
w148,Toward,223.0,215.0,word,2.7,Movement
w149,Along,238.5,195.5,word,2.7,Movement
w150,Way,254.0,202.5,word,2.7,Movement
w151,Company,277.5,225.5,word,2.7,Direction
w152,Relationship,254.0,219.5,word,2.7,Direction
w153,Competition,272.0,208.0,word,2.7,Direction
w154,Agreement,288.0,206.5,word,2.7,Direction
w155,Concrete,302.0,262.0,word,2.7,Construction
w156,Wood,288.5,256.5,word,2.7,Construction
w157,Structure,283.0,233.5,word,2.7,Construction
w158,Brick,308.0,258.5,word,2.7,Construction
w159,House,275.5,264.5,word,2.7,Building
w160,Floor,247.5,255.5,word,2.7,Building
w161,Room,255.5,232.5,word,2.7,Building
w162,Door,296.0,252.0,word,2.7,Building
w163,Garden,270.0,275.5,word,2.7,Apartment
w164,Corner,253.0,264.5,word,2.7,Apartment
w165,Square,242.5,249.5,word,2.7,Apartment
w166,Stairs,264.5,259.0,word,2.7,Apartment
w167,Cabinet,300.5,282.0,word,2.7,Table
w168,Chair,284.5,282.0,word,2.7,Table
w169,Cake,277.5,269.0,word,2.7,Table
w170,Dinner,290.5,275.0,word,2.7,Table
w171,Hammer,312.0,273.5,word,2.7,Table
w172,Car,239.0,309.5,word,2.7,Driver
w173,Truck,229.0,315.0,word,2.7,Driver
w174,Traffic,230.0,301.0,word,2.7,Driver
w175,Accident,250.5,293.5,word,2.7,Driver
w176,Drivers,265.0,285.0,word,2.7,Driver
w177,Meat,304.0,351.5,word,2.7,Food
w178,Soup,285.5,351.5,word,2.7,Food
w179,Bread,272.0,340.5,word,2.7,Food
w180,Eat,291.0,333.0,word,2.7,Food
w181,Snack,301.5,340.0,word,2.7,Food
w182,Hungry,316.5,355.5,word,2.7,Food
w183,Sweet,308.5,331.0,word,2.7,Taste
w184,Sour,262.0,313.5,word,2.7,Taste
w185,Juice,294.5,315.5,word,2.7,Taste
w186,Wine,311.5,322.0,word,2.7,Taste
w187,Whisky,327.5,345.0,word,2.7,Sugar
w188,Drink,320.0,332.5,word,2.7,Sugar
w189,Thirst,322.5,283.5,word,2.7,Sugar
w190,Milk,335.5,318.5,word,2.7,Sugar
w191,Breakfast,315.5,365.5,word,2.7,Dinner
w192,Lunch,271.0,356.0,word,2.7,Dinner
w193,Restaurant,296.5,359.0,word,2.7,Dinner
w194,Scared,262.0,243.5,word,2.7,Fear
w195,Threat,235.0,235.0,word,2.7,Fear
w196,Concern,255.0,224.5,word,2.7,Fear
w197,Disaster,169.0,246.5,word,2.7,Weather
w198,Flood,147.0,256.5,word,2.7,Weather
w199,Hurricane,149.5,250.0,word,2.7,Weather
w200,Storm,140.5,236.0,word,2.7,Weather
w201,Rain,157.0,215.5,word,2.7,Weather
w202,Snow,183.0,234.5,word,2.7,Weather
w203,Cloudy,178.0,239.5,word,2.7,Weather
w204,Region,202.5,278.0,word,2.7,Land
w205,Map,197.0,248.5,word,2.7,Land
w206,Forest,194.5,231.5,word,2.7,Land
w207,Green,215.5,250.0,word,2.7,Land
w208,Playground,189.0,288.5,word,2.7,Juggle
w209,Play,160.5,284.0,word,2.7,Juggle
w210,Exercise,184.0,256.0,word,2.7,Juggle
w211,Being,165.5,290.5,word,2.7,Human
w212,Fishing,142.0,286.5,word,2.7,Human
w213,Climbing,134.5,279.0,word,2.7,Human
w214,Hike,134.0,271.0,word,2.7,Human
w215,Camping,186.5,263.5,word,2.7,Human
w216,Breed,222.0,288.5,word,2.7,Insect
w217,Species,191.0,299.0,word,2.7,Insect
w218,Fly,214.0,287.5,word,2.7,Insect
w219,Crawl,232.5,277.5,word,2.7,Insect
w220,Monkey,134.5,329.0,word,2.7,Star
w221,Elephant,122.5,322.0,word,2.7,Star
w222,Wolf,106.5,316.5,word,2.7,Star
w223,Tiger,110.5,308.0,word,2.7,Star
w224,Deer,126.0,298.0,word,2.7,Star
w225,Giraffe,145.0,319.5,word,2.7,Star
w226,Freshwater,162.0,346.5,word,2.7,Fish
w227,Water,155.5,355.5,word,2.7,Fish
w228,Lake,155.0,322.5,word,2.7,Fish
w229,River,171.0,327.5,word,2.7,Fish
w230,Duck,142.5,353.5,word,2.7,Bird
w231,Sparrow,117.0,353.5,word,2.7,Bird
w232,Fly,127.0,342.5,word,2.7,Bird
w233,Winged,118.0,331.5,word,2.7,Bird
w234,Flock,139.0,339.5,word,2.7,Bird
w235,Birds,150.0,335.0,word,2.7,Bird
w236,Sail,214.0,333.0,word,2.7,Ship
w237,Boat,203.5,337.0,word,2.7,Ship
w238,Sea,188.5,327.5,word,2.7,Ship
w239,Ocean,189.0,306.5,word,2.7,Ship
w240,Passenger,195.0,316.5,word,2.7,Ship
w241,Cargo,217.0,307.5,word,2.7,Ship
w242,Recordings,64.5,300.0,word,2.7,Music
w243,Band,44.5,297.0,word,2.7,Music
w244,Singing,25.0,288.0,word,2.7,Music
w245,Concert,60.0,277.0,word,2.7,Music
w246,Song,78.5,278.5,word,2.7,Music
w247,Instrument,65.0,269.0,word,2.7,Sound
w248,Voice,58.5,285.5,word,2.7,Sound
w249,Radio,21.0,276.0,word,2.7,Sound
w250,Telephone,23.5,263.0,word,2.7,Sound
w251,Broadcast,49.5,260.5,word,2.7,Sound
w252,Microphone,91.5,269.5,word,2.7,Sound
w253,Bullet,91.0,235.0,word,2.7,Gun
w254,Rifle,75.5,235.5,word,2.7,Gun
w255,Shotgun,67.5,215.0,word,2.7,Gun
w256,Battle,81.0,207.0,word,2.7,Gun
w257,Bomb,96.0,221.5,word,2.7,Gun
w258,Emergency,130.0,230.5,word,2.7,Danger
w259,Threat,114.0,237.0,word,2.7,Danger
w260,Risk,120.5,193.0,word,2.7,Danger
w261,Security,147.5,208.0,word,2.7,Protection
w262,Safety,91.5,210.5,word,2.7,Protection
w263,Defense,112.0,185.0,word,2.7,Protection
w264,Police,128.5,179.5,word,2.7,Protection
w265,Crime,54.0,200.5,word,2.7,Suspect
w266,City,34.0,214.5,word,2.7,Suspect
w267,Suspicion,46.0,192.0,word,2.7,Suspect
w268,Victim,58.5,189.0,word,2.7,Suspect
w269,Bad,63.0,196.5,word,2.7,Suspect
w270,Court,80.0,186.5,word,2.7,Prison
w271,Witness,53.5,169.0,word,2.7,Prison
w272,Officer,62.0,161.5,word,2.7,Prison
w273,Murder,83.0,166.0,word,2.7,Prison
w274,Jury,28.0,199.5,word,2.7,Trial
w275,Judge,25.0,208.0,word,2.7,Trial
w276,Court,14.0,200.0,word,2.7,Trial
w277,Case,13.0,185.5,word,2.7,Trial
w278,Lawyer,27.0,182.0,word,2.7,Trial
w279,Evidence,34.0,195.0,word,2.7,Trial
w280,Hostile,106.0,152.5,word,2.7,War
w281,Army,92.0,174.0,word,2.7,War
w282,Military,88.0,157.0,word,2.7,War
w283,Enemy,100.0,152.0,word,2.7,War
w284,Destructive,115.0,152.5,word,2.7,War
w285,Question,164.0,157.5,word,2.7,Argument
w286,Experience,128.0,165.5,word,2.7,Argument
w287,Problem,133.5,159.5,word,2.7,Argument
w288,Debate,155.5,142.5,word,2.7,Argument
w289,Reason,165.0,150.0,word,2.7,Argument
w290,Difficult,222.5,152.5,word,2.7,Challenge
w291,Trouble,186.5,144.5,word,2.7,Challenge
w292,Unwanted,181.0,134.0,word,2.7,Challenge
w293,Incredible,195.0,122.5,word,2.7,Challenge
w294,Perfectly,221.0,131.5,word,2.7,Challenge
w295,Improve,219.5,169.5,word,2.7,Help
w296,Support,182.5,152.5,word,2.7,Help
w297,Protect,204.5,134.5,word,2.7,Help
w298,Illegal,229.5,182.5,word,2.7,Crime
w299,Moral,212.0,175.5,word,2.7,Crime
w300,Police,211.5,140.0,word,2.7,Crime
w301,Prison,227.5,147.5,word,2.7,Crime
w302,School,255.5,147.0,word,2.7,Teaching
w303,University,231.0,158.5,word,2.7,Teaching
w304,Specialty,230.5,140.5,word,2.7,Teaching
w305,Degree,244.5,142.5,word,2.7,Teaching
w306,Education,261.5,142.0,word,2.7,Teaching
w307,Highly,276.0,131.5,word,2.7,Efficiency
w308,Success,250.0,128.5,word,2.7,Efficiency
w309,Popular,252.5,114.5,word,2.7,Efficiency
w310,Useful,285.0,121.0,word,2.7,Efficiency
w311,Spread,218.0,205.5,word,2.7,Coloring
w312,Photo,207.5,214.5,word,2.7,Coloring
w313,Picture,202.0,166.5,word,2.7,Coloring
w314,Color,227.5,191.0,word,2.7,Coloring
w315,Up,213.0,209.5,word,2.7,Lift
w316,Down,174.0,189.5,word,2.7,Lift
w317,Ground,198.5,156.0,word,2.7,Lift
w318,Damage,188.5,172.0,word,2.7,Disaster
w319,Dangerous,155.5,182.5,word,2.7,Disaster
w320,Severity,179.5,161.0,word,2.7,Disaster
w321,Black,190.0,217.5,word,2.7,Spots
w322,White,168.5,208.0,word,2.7,Spots
w323,Patch,151.5,192.5,word,2.7,Spots
w324,Stripe,192.0,195.0,word,2.7,Spots
w325,Mind,203.0,229.5,word,2.7,Play
w326,Game,180.5,225.5,word,2.7,Play
w327,Child,213.5,194.5,word,2.7,Play
w328,Clock,222.0,229.5,word,2.7,Time
w329,Early,203.5,221.5,word,2.7,Time
w330,Late,213.5,183.5,word,2.7,Time
w331,Tomorrow,233.5,201.5,word,2.7,Time
w332,Shirt,399.0,250.5,word,2.7,Bag
w333,Button,356.0,236.5,word,2.7,Bag
w334,Pocket,355.5,224.5,word,2.7,Bag
w335,Clothes,375.0,214.5,word,2.7,Bag
w336,Fashion,447.5,235.5,word,2.7,Clothes
w337,Dress,436.5,241.0,word,2.7,Clothes
w338,Gloves,411.0,218.5,word,2.7,Clothes
w339,Sweater,433.0,214.5,word,2.7,Clothes
w340,Jeans,455.5,224.5,word,2.7,Clothes
w341,Animal,438.5,255.5,word,2.7,Wolf
w342,Sport,403.5,244.0,word,2.7,Wolf
w343,Beast,404.0,237.5,word,2.7,Wolf
w344,Jacket,419.0,234.0,word,2.7,Wolf
w345,Pants,445.0,246.5,word,2.7,Wolf
