path_id,order,x,y
p041,1,250.0,120.0
p042,0,252.0,178.0
p042,1,221.0,143.0
p043,0,58.18,344.71
p043,1,112.54,253.72
p044,0,162.82,263.75
p044,1,193.9,229.91
p045,0,330.79,239.22
p045,1,298.54,206.47
p046,0,341.0,61.0
p046,1,302.0,37.0
p047,0,201.84,282.1
p047,1,176.86,244.09
p048,0,206.14,307.24
p048,1,245.53,284.93
p049,0,319.91,232.05
p049,1,285.68,171.18
p050,0,132.0,178.0
p050,1,135.0,133.0
p051,0,326.0,230.0
p051,1,290.0,203.0
p052,0,85.05,270.4
p052,1,164.09,260.72
p053,0,77.69,212.69
p053,1,108.55,181.55
p054,0,144.67,79.35
p054,1,133.47,36.61
p055,0,101.0,97.0
p055,1,140.0,78.0
p056,0,183.49,103.25
p056,1,138.16,73.28
p057,0,330.0,235.0
p057,1,300.0,204.0
p058,0,97.0,275.0
p058,1,128.0,245.0
p059,0,258.0,292.0
p059,1,288.0,261.0
p060,0,402.05,179.02
p060,1,401.03,229.02
p061,0,340.0,111.77
p061,1,385.01,112.17
p062,0,134.0,132.41
p062,1,177.0,132.57
p063,0,139.0,123.0
p063,1,130.0,81.0
p064,0,272.95,87.3
p064,1,340.93,82.06
p065,0,213.66,195.21
p065,1,251.74,174.52
p066,0,160.0,315.0
p066,1,198.0,297.0
p067,0,367.0,186.0
p067,1,409.0,185.0
p068,0,249.21,45.03
p068,1,242.48,86.24
p069,0,106.53,88.91
p069,1,98.86,130.16
p070,0,281.0,268.0
p070,1,242.0,254.0
p071,0,297.0,88.0
p071,1,256.0,83.0
p072,0,102.0,192.0
p072,1,76.0,160.0
p073,0,150.25,179.98
p073,1,153.93,224.09
p074,0,319.0,295.0
p074,1,356.0,277.0
p075,0,300.0,267.0
p075,1,269.0,240.0
p076,0,249.99,83.02
p076,1,249.03,124.98
p077,0,241.27,287.91
p077,1,221.59,227.81
p078,0,349.0,193.0
p078,1,317.0,168.0
p079,0,291.23,229.38
p079,1,331.28,222.66
p080,0,259.95,44.05
p080,1,229.46,15.44
p081,0,360.0,146.0
p081,1,388.0,117.0
p082,0,237.0,85.0
p082,1,277.0,83.0
p083,0,236.59,143.03
p083,1,200.55,121.1
p084,0,320.0,176.0
p084,1,313.0,137.0
p085,0,199.16,193.4
p085,1,207.67,232.86
p086,0,250.92,88.19
p086,1,214.9,72.23
p087,0,212.0,156.0
p087,1,236.0,125.0
p088,0,293.0,267.0
p088,1,271.0,235.0
p089,0,58.32,223.06
p089,1,92.36,198.51
p090,0,352.77,64.63
p090,1,316.32,51.13
p091,0,196.04,183.42
p091,1,174.93,134.6
p092,0,229.0,133.0
p092,1,192.0,122.0
p093,0,146.0,73.0
p093,1,130.0,38.0
p094,0,227.1,314.8
p094,1,192.49,297.99
p095,0,284.56,229.98
p095,1,249.42,214.29
p096,0,266.2,258.58
p096,1,228.11,253.24
p097,0,343.64,75.05
p097,1,340.37,119.95
p098,0,190.05,46.41
p098,1,129.95,41.68
p099,0,252.12,334.8
p099,1,242.95,374.22
p100,0,301.75,46.77
p100,1,322.03,0.45
p101,0,169.94,184.33
p101,1,126.08,176.53
p102,0,100.32,280.22
p102,1,121.69,248.79
p103,0,182.0,166.0
p103,1,172.0,130.0
p104,0,220.0,263.0
p104,1,255.0,250.0
p105,0,273.38,320.84
p105,1,258.74,286.54
p106,0,219.0,305.0
p106,1,182.0,302.0
p107,0,200.0,183.0
p107,1,177.0,154.0
p108,0,282.98,26.15
p108,1,273.6,86.25
p109,0,368.0,144.0
p109,1,333.0,134.0
p110,0,111.0,216.0
p110,1,80.0,197.0
p111,0,248.0,147.0
p111,1,215.0,132.0
p112,0,261.62,280.08
p112,1,294.55,261.21
p113,0,173.13,65.41
p113,1,211.97,61.7
p114,0,172.0,49.0
p114,1,208.0,49.0
p115,0,214.33,212.63
p115,1,231.71,181.29
p116,0,378.0,284.0
p116,1,343.0,278.0
p117,0,289.08,182.4
p117,1,327.76,174.76
p118,0,139.0,115.0
p118,1,126.0,82.0
p119,0,239.19,25.7
p119,1,288.12,12.44
p120,0,268.0,314.0
p120,1,302.0,305.0
p121,0,139.0,182.0
p121,1,173.0,174.0
p122,0,251.0,341.0
p122,1,227.0,316.0
p123,0,124.67,244.48
p123,1,164.37,219.01
p124,0,72.0,139.0
p124,1,103.0,124.0
p125,0,171.0,90.0
p125,1,140.0,75.0
p126,0,222.0,77.0
p126,1,201.0,50.0
p127,0,71.17,121.74
p127,1,47.67,95.4
p128,0,161.55,223.2
p128,1,147.62,192.17
p129,0,366.65,283.85
p129,1,330.16,268.61
p130,0,181.0,78.0
p130,1,208.0,58.0
p131,0,213.0,212.0
p131,1,228.0,182.0
p132,0,400.0,179.0
p132,1,395.0,146.0
p133,0,146.04,332.04
p133,1,168.52,307.48
p134,0,267.09,41.71
p134,1,307.83,36.64
p135,0,119.03,136.41
p135,1,157.94,133.27
p136,0,220.0,137.0
p136,1,249.0,121.0
p137,0,300.0,186.0
p137,1,273.0,167.0
p138,0,248.0,25.0
p138,1,217.0,14.0
p139,0,345.0,280.0
p139,1,334.0,249.0
p140,0,307.74,141.41
p140,1,337.02,126.03
p141,0,36.71,188.1
p141,1,26.44,156.85
p142,0,273.0,149.0
p142,1,241.0,143.0
p143,0,103.17,92.54
p143,1,134.6,82.72
p144,0,177.0,308.0
p144,1,146.0,299.0
p145,0,330.0,83.0
p145,1,356.0,64.0
p146,0,257.0,294.0
p146,1,276.0,268.0
p147,0,0.0,236.0
p147,1,32.0,234.0
p148,0,211.08,233.3
p148,1,265.84,218.4
p149,0,130.0,141.0
p149,1,160.0,130.0
p150,0,405.0,194.0
p150,1,388.0,167.0
p151,0,287.11,159.5
p151,1,294.67,127.68
p152,0,187.17,306.35
p152,1,161.81,261.11
p153,0,103.0,91.0
p153,1,133.0,81.0
p154,0,19.84,156.2
p154,1,59.03,148.15
p155,0,187.29,195.01
p155,1,161.35,176.94
p156,0,191.0,305.0
p156,1,203.0,276.0
p157,0,-0.2,127.67
p157,1,27.19,111.32
p158,0,330.62,184.72
p158,1,305.31,136.36
p159,0,177.0,66.0
p159,1,207.0,57.0
p160,0,387.33,103.11
p160,1,402.09,57.03
p161,0,214.0,158.0
p161,1,228.0,130.0
p162,0,210.99,123.49
p162,1,177.0,122.99
p163,0,275.2,190.53
p163,1,304.87,179.66
p164,0,325.65,57.26
p164,1,307.31,32.51
p165,0,165.0,181.0
p165,1,183.0,156.0
p166,0,187.0,240.0
p166,1,180.0,210.0
p167,0,195.0,305.0
p167,1,201.0,275.0
p168,0,200.0,88.0
p168,1,228.0,76.0
p169,0,373.0,140.0
p169,1,382.0,111.0
p170,0,277.0,39.0
p170,1,247.0,36.0
p171,0,297.0,187.0
p171,1,321.0,169.0
p172,0,350.0,280.0
p172,1,332.0,256.0
p173,0,201.57,233.43
p173,1,172.37,224.74
p174,0,336.0,84.0
p174,1,356.0,62.0
p175,0,209.0,55.0
p175,1,181.0,45.0
p176,0,335.0,217.0
p176,1,344.0,189.0
p177,0,178.0,130.0
p177,1,181.0,101.0
p178,0,231.0,128.0
p178,1,260.0,125.0
p179,0,194.13,195.69
p179,1,155.87,179.31
p180,0,253.0,124.0
p180,1,250.0,95.0
p181,0,316.0,229.0
p181,1,297.0,207.0
p182,0,206.0,127.0
p182,1,222.0,103.0
p183,0,297.0,122.0
p183,1,283.0,97.0
p184,0,144.0,185.0
p184,1,170.0,173.0
p185,0,267.0,245.0
p185,1,284.0,222.0
p186,0,385.0,103.0
p186,1,394.0,76.0
p187,0,229.73,234.5
p187,1,199.2,228.92
p188,0,94.14,188.8
p188,1,122.96,183.78
p189,0,341.0,186.0
p189,1,315.0,175.0
p190,0,204.81,41.83
p190,1,210.64,69.29
p191,0,178.31,255.4
p191,1,186.83,227.64
p192,0,243.0,331.0
p192,1,220.0,315.0
p193,0,339.0,88.0
p193,1,349.0,62.0
p194,0,83.0,133.0
p194,1,61.0,116.0
p195,0,331.0,130.0
p195,1,345.0,106.0
p196,0,181.0,114.0
p196,1,169.0,89.0
p197,0,182.0,195.0
p197,1,209.0,192.0
p198,0,407.0,123.0
p198,1,380.0,121.0
p199,0,52.0,237.0
p199,1,25.0,235.0
p200,0,133.0,103.0
p200,1,135.0,76.0
p201,0,193.99,173.5
p201,1,221.02,173.0
p202,0,183.98,190.0
p202,1,182.56,228.02
p203,0,252.0,48.52
p203,1,225.0,48.48
p204,0,29.0,161.0
p204,1,4.0,151.0
p205,0,336.0,283.0
p205,1,362.0,277.0
p206,0,318.0,355.0
p206,1,312.0,329.0
p207,0,270.0,84.0
p207,1,285.0,62.0
p208,0,282.0,208.0
p208,1,291.0,183.0
p209,0,145.0,294.0
p209,1,120.0,285.0
p210,0,232.41,94.66
p210,1,245.62,71.78
p211,0,236.0,31.0
p211,1,259.0,18.0
p212,0,319.0,137.0
p212,1,293.0,133.0
p213,0,229.0,190.0
p213,1,216.0,168.0
p214,0,261.0,335.0
p214,1,274.0,313.0
p215,0,261.1,290.5
p215,1,236.14,285.34
p216,0,258.8,222.52
p216,1,240.28,179.88
p217,0,245.0,187.0
p217,1,221.0,179.0
p218,0,265.0,21.0
p218,1,287.0,9.0
p219,0,107.68,225.13
p219,1,94.32,192.87
p220,0,316.0,320.0
p220,1,321.0,296.0
p221,0,276.0,245.0
p221,1,268.0,222.0
p222,0,235.0,166.0
p222,1,259.0,162.0
p223,0,372.0,129.0
p223,1,394.0,119.0
p224,0,271.0,156.0
p224,1,281.0,134.0
p225,0,255.0,45.0
p225,1,245.0,23.0
p226,0,116.0,268.0
p226,1,109.0,245.0
p227,0,172.0,139.0
p227,1,181.0,117.0
p228,0,393.0,124.0
p228,1,416.0,119.0
p229,0,239.0,187.0
p229,1,247.0,165.0
p230,0,216.03,194.74
p230,1,180.08,191.22
p231,0,313.0,138.0
p231,1,290.0,136.0
p232,0,247.0,106.0
p232,1,246.0,83.0
p233,0,215.0,23.0
p233,1,215.0,0.0
p234,0,143.0,214.32
p234,1,104.0,214.18
p235,0,1.0,237.0
p235,1,23.0,231.0
p236,0,196.0,176.0
p236,1,218.0,170.0
p237,0,162.0,218.0
p237,1,140.0,213.0
p238,0,250.0,354.0
p238,1,245.0,332.0
p239,0,181.48,336.92
p239,1,175.97,305.83
p240,0,183.0,164.0
p240,1,179.0,142.0
p241,0,41.0,274.0
p241,1,63.0,270.0
p242,0,178.0,227.0
p242,1,182.0,205.0
p243,0,204.0,232.0
p243,1,200.0,210.0
p244,0,323.0,80.0
p244,1,345.0,77.0
p245,0,153.0,106.0
p245,1,131.0,103.0
p246,0,194.0,172.0
p246,1,216.0,169.0
p247,0,178.0,168.0
p247,1,179.0,146.0
