region,age,weight
Western Europe,2.2613,0.1906
Western Europe,5.7654,0.0381
Central/Eastern Europe,4.6722,0.0875
Central/Eastern Europe,4.8548,0.0079
Central/Eastern Europe,5.1764,0.0096
Central/Eastern Europe,2.9875,0.0204
Central/Eastern Europe,5.3864,0.0698
Central/Eastern Europe,4.4656,0.0857
Central/Eastern Europe,7.4289,0.1005
Central/Eastern Europe,6.4163,0.0215
Central/Eastern Europe,4.994,0.1149
Central/Eastern Europe,2.4964,0.1132
Central/Eastern Europe,2.8287,0.0618
Central/Eastern Europe,5.3634,0.1507
Central/Eastern Europe,7.7482,0.0087
Central/Eastern Europe,4.0004,0.1108
Central/Eastern Europe,2.4345,0.1465
Central/Eastern Europe,5.163,0.0551
Central/Eastern Europe,8.4988,0.0073
Central/Eastern Europe,9.638,0.0433
Central/Eastern Europe,3.2505,0.0994
Central/Eastern Europe,0.8596,0.0669
Central/Eastern Europe,6.1165,0.1618
Central/Eastern Europe,3.4929,0.0855
Central/Eastern Europe,5.8793,0.0281
Central/Eastern Europe,4.5132,0.0859
Central/Eastern Europe,3.4867,0.0431
Central/Eastern Europe,4.624,0.0375
Central/Eastern Europe,7.3164,0.0837
Central/Eastern Europe,3.8014,0.0586
Central/Eastern Europe,2.0467,0.0722
Central/Eastern Europe,4.4902,0.0804
Central/Eastern Europe,3.1343,0.0026
Central/Eastern Europe,5.0956,0.1044
Central/Eastern Europe,4.1076,0.1331
Central/Eastern Europe,7.2408,0.252
Central/Eastern Europe,3.9567,0.068
Central/Eastern Europe,3.6774,0.0064
Central/Eastern Europe,3.7018,0.0056
Central/Eastern Europe,2.7115,0.0536
Central/Eastern Europe,10.3121,0.0503
Central/Eastern Europe,5.1526,0.1636
Central/Eastern Europe,7.6443,0.0549
Central/Eastern Europe,7.6807,0.002
Central/Eastern Europe,4.0917,0.038
Central/Eastern Europe,3.9718,0.0274
Central/Eastern Europe,8.629,0.1358
Central/Eastern Europe,3.2301,0.015
Central/Eastern Europe,3.9586,0.067
Central/Eastern Europe,3.9721,0.0853
Central/Eastern Europe,6.4946,0.0094
Central/Eastern Europe,5.7285,0.1081
Central/Eastern Europe,7.0273,0.0429
Central/Eastern Europe,1.5793,0.1747
Central/Eastern Europe,5.0657,0.0695
Central/Eastern Europe,4.3122,0.3749
Central/Eastern Europe,6.2471,0.0304
Central/Eastern Europe,7.1364,0.0093
Central/Eastern Europe,5.4057,0.6398
Central/Eastern Europe,4.8987,0.1409
Central/Eastern Europe,3.3555,0.0404
Central/Eastern Europe,5.181,0.0399
Central/Eastern Europe,1.3094,0.1031
Central/Eastern Europe,1.8697,0.0337
Central/Eastern Europe,5.5123,0.0275
Central/Eastern Europe,3.0948,0.2684
Central/Eastern Europe,2.2912,0.0079
Central/Eastern Europe,5.7527,0.1626
Central/Eastern Europe,4.5554,0.0261
Central/Eastern Europe,5.5387,0.0536
Central/Eastern Europe,5.2696,0.0252
Central/Eastern Europe,9.4202,0.0135
Central/Eastern Europe,8.4127,0.0065
Central/Eastern Europe,3.3967,0.243
Central/Eastern Europe,0.7713,0.0381
Central/Eastern Europe,5.7093,0.015
Central/Eastern Europe,2.6778,0.0254
Central/Eastern Europe,8.869,0.0735
Central/Eastern Europe,2.4142,0.0143
Central/Eastern Europe,7.1227,0.0192
Central/Eastern Europe,5.6737,0.0254
Central/Eastern Europe,4.8067,0.0312
Central/Eastern Europe,8.6689,0.0453
Central/Eastern Europe,2.1819,0.1409
Central/Eastern Europe,2.9129,0.1702
Central/Eastern Europe,2.4391,0.0741
Central/Eastern Europe,3.2815,0.0351
Central/Eastern Europe,2.718,0.0137
Central/Eastern Europe,0.739,0.1619
Central/Eastern Europe,6.0649,0.0436
Central/Eastern Europe,5.2682,0.0168
Central/Eastern Europe,2.9301,0.0222
Central/Eastern Europe,4.3955,0.0235
Central/Eastern Europe,4.4609,0.0849
Central/Eastern Europe,1.2957,0.2646
Central/Eastern Europe,5.9041,0.0396
Central/Eastern Europe,4.7941,0.0572
Central/Eastern Europe,5.5486,0.0102
Central/Eastern Europe,1.6827,0.0026
Central/Eastern Europe,6.9953,0.0599
Central/Eastern Europe,10.1184,0.3489
Central/Eastern Europe,8.8933,0.0482
Central/Eastern Europe,5.882,0.1625
Central/Eastern Europe,5.4344,0.2063
Central/Eastern Europe,1.4453,0.0369
Central/Eastern Europe,5.6364,0.0568
Central/Eastern Europe,5.2263,0.1032
Central/Eastern Europe,4.0382,0.0426
Central/Eastern Europe,4.8984,0.2135
Central/Eastern Europe,10.3335,0.0678
Central/Eastern Europe,4.3859,0.148
Central/Eastern Europe,1.8905,0.0869
Central/Eastern Europe,5.0017,0.0067
Central/Eastern Europe,5.3587,0.1551
Central/Eastern Europe,2.9662,0.0951
Central/Eastern Europe,5.9701,0.0045
Central/Eastern Europe,6.2483,0.0153
Central/Eastern Europe,3.9864,0.057
Central/Eastern Europe,4.4982,0.0813
Central/Eastern Europe,4.1977,0.0004
Central/Eastern Europe,4.602,0.0133
Central/Eastern Europe,1.4626,0.0948
Central/Eastern Europe,4.0036,0.0285
Central/Eastern Europe,1.6659,0.1787
Central/Eastern Europe,6.4638,0.0289
Central/Eastern Europe,4.8928,0.2375
Central/Eastern Europe,6.9959,0.117
Central/Eastern Europe,6.6279,0.0345
Central/Eastern Europe,9.6451,0.2617
Central/Eastern Europe,3.7423,0.0215
Central/Eastern Europe,5.7747,0.31
Central/Eastern Europe,0.571,0.04
Southern Europe,6.2838,0.1018
Southern Europe,0.4444,0.0957
Southern Europe,2.7057,0.1731
Southern Europe,5.4902,0.1137
Southern Europe,2.9849,0.0394
Southern Europe,4.5098,0.007
Southern Europe,1.6897,0.0248
Southern Europe,5.1652,0.0239
Southern Europe,3.3246,0.0403
Southern Europe,7.4101,0.0134
Southern Europe,6.3417,0.0754
Southern Europe,3.3229,0.0635
Southern Europe,9.2206,0.0266
Southern Europe,2.8394,0.0122
Southern Europe,1.2454,0.0567
Southern Europe,5.7,0.1139
Southern Europe,2.8131,0.0123
Southern Europe,3.1332,0.1205
Southern Europe,9.1968,0.1252
Southern Europe,6.6003,0.0763
Southern Europe,6.4573,0.0946
Southern Europe,8.6769,0.0823
Southern Europe,5.5345,0.0424
Southern Europe,8.5355,0.0343
Southern Europe,7.7996,0.2099
Southern Europe,2.9232,0.1094
Southern Europe,4.6575,0.1315
Southern Europe,3.057,0.0002
Southern Europe,4.7776,0.0253
Southern Europe,6.311,0.0441
Southern Europe,11.7734,0.047
Southern Europe,6.7767,0.1644
Southern Europe,4.3141,0.0654
Southern Europe,6.3954,0.0613
Southern Europe,6.8867,0.0377
Southern Europe,10.0228,0.0205
Southern Europe,0.8164,0.0331
Southern Europe,6.0142,0.0171
Southern Europe,2.8892,0.0105
Southern Europe,5.2204,0.0075
Southern Europe,6.6756,0.0785
Southern Europe,0.6703,0.0519
Southern Europe,4.9542,0.0612
Southern Europe,4.4166,0.1895
Southern Europe,5.2108,0.183
Southern Europe,4.3467,0.0577
Southern Europe,3.443,0.1893
Southern Europe,6.2862,0.1638
Southern Europe,5.3911,0.1473
Southern Europe,5.378,0.0868
Southern Europe,5.1952,0.3903
Southern Europe,4.8689,0.1147
Southern Europe,9.6522,0.1232
Southern Europe,5.133,0.198
Southern Europe,7.1585,0.1063
Southern Europe,3.4345,0.1253
Southern Europe,9.0036,0.0013
Southern Europe,6.3828,0.1201
Southern Europe,2.9282,0.0176
Southern Europe,4.7817,0.0077
Southern Europe,3.9873,0.1638
Southern Europe,4.3878,0.0007
Southern Europe,7.9636,0.0096
Southern Europe,2.9121,0.0226
Southern Europe,6.3969,0.0013
Southern Europe,3.4131,0.0323
Southern Europe,2.0962,0.2455
Southern Europe,10.4986,0.1029
Southern Europe,8.5187,0.1346
Southern Europe,3.6252,0.0764
Southern Europe,2.9583,0.0016
Southern Europe,6.981,0.0954
Southern Europe,1.0107,0.1014
Southern Europe,4.3666,0.0705
Southern Europe,2.3365,0.0045
Southern Europe,5.9467,0.0134
Southern Europe,4.6094,0.0239
Southern Europe,4.3869,0.0711
Southern Europe,5.1383,0.2999
Southern Europe,5.6066,0.0416
Southern Europe,4.7284,0.1057
Southern Europe,1.302,0.0022
Southern Europe,2.9298,0.0943
Southern Europe,7.2863,0.025
Southern Europe,3.4563,0.0279
Southern Europe,8.2021,0.0523
Southern Europe,9.9329,0.0143
Southern Europe,2.4709,0.0879
Southern Europe,8.2857,0.1108
Southern Europe,4.9911,0.0194
Southern Europe,4.3554,0.0212
Southern Europe,2.7386,0.0474
Southern Europe,2.723,0.1494
Southern Europe,2.4431,0.0336
Southern Europe,3.6329,0.0188
Southern Europe,3.9513,0.0667
Southern Europe,4.2762,0.0171
Southern Europe,3.8044,0.0164
Southern Europe,7.4743,0.1882
Southern Europe,4.4604,0.0509
Southern Europe,8.218,0.0492
Southern Europe,3.0014,0.117
Southern Europe,4.7997,0.0207
Southern Europe,8.9658,0.0144
Southern Europe,4.3274,0.0492
Southern Europe,8.4738,0.0153
Southern Europe,6.8178,0.1213
Southern Europe,4.2411,0.066
Southern Europe,10.7402,0.1568
Southern Europe,4.4213,0.0156
Southern Europe,7.5329,0.0281
Southern Europe,3.3372,0.0496
Southern Europe,9.0899,0.0316
Southern Europe,5.2286,0.0858
Southern Europe,9.5361,0.0823
Southern Europe,7.1555,0.0072
Southern Europe,2.9798,0.0908
Southern Europe,5.144,0.2545
Southern Europe,5.5086,0.0133
Southern Europe,2.7115,0.0125
Southern Europe,6.9366,0.0093
Southern Europe,1.2247,0.0125
Southern Europe,4.4434,0.0231
Southern Europe,6.9975,0.0279
Southern Europe,8.5008,0.102
Southern Europe,4.8994,0.0041
Southern Europe,6.4582,0.1147
Southern Europe,3.9072,0.0526
Southern Europe,5.9066,0.0055
Southern Europe,7.8534,0.0474
Northern Europe,2.2016,0.0017
Northern Europe,2.3442,0.2732
Northern Europe,6.8899,0.0018
Northern Europe,1.5371,0.2291
Northern Europe,0.735,0.1434
Northern Europe,2.988,0.0705
Northern Europe,2.2995,0.016
Northern Europe,7.221,0.1457
Northern Europe,3.0856,0.0092
Northern Europe,1.4933,0.1604
Northern Europe,2.7769,0.0918
Northern Europe,1.7061,0.0093
Northern Europe,4.251,0.0628
Northern Europe,1.4899,0.2265
Northern Europe,4.5759,0.0204
Northern Europe,1.9247,0.492
Northern Europe,1.6348,0.0365
Northern Europe,3.3506,0.0487
Northern Europe,2.4418,0.1744
Northern Europe,4.1064,0.0418
Northern Europe,2.9705,0.0411
Northern Europe,2.3579,0.0499
Northern Europe,2.0786,0.1426
Northern Europe,0.9332,0.1028
Northern Europe,3.676,0.0013
Northern Europe,4.6877,0.0575
Northern Europe,2.1943,0.0968
Northern Europe,2.522,0.0245
Northern Europe,1.2802,0.0504
Northern Europe,2.6102,0.1368
Northern Europe,0.622,0.007
Northern Europe,2.2731,0.0652
Northern Europe,0.9826,0.0069
Northern Europe,6.6683,0.1374
Northern Europe,3.7329,0.0211
Northern Europe,2.0864,0.0723
Northern Europe,1.3202,0.0979
Northern Europe,4.1854,0.0329
Northern Europe,1.0005,0.1868
Northern Europe,1.6366,0.1596
Northern Europe,0.9218,0.0678
Northern Europe,3.0187,0.0607
Northern Europe,2.0318,0.0485
Northern Europe,0.3871,0.0458
Northern Europe,1.2789,0.021
Northern Europe,3.1461,0.0343
Northern Europe,1.6076,0.1665
Northern Europe,0.3907,0.0033
Northern Europe,6.2236,0.0141
Northern Europe,0.981,0.0094
Northern Europe,6.6438,0.0774
Northern Europe,4.3026,0.065
Northern Europe,1.4059,0.0664
Northern Europe,2.5004,0.0248
Northern Europe,0.989,0.0082
Northern Europe,0.7754,0.0382
Northern Europe,2.2842,0.213
Northern Europe,0.8193,0.0454
Northern Europe,3.2488,0.0509
Northern Europe,1.4961,0.0406
Northern Europe,6.3603,0.038
Northern Europe,2.1235,0.0206
Northern Europe,2.6829,0.0381
Northern Europe,3.0737,0.1079
Northern Europe,6.129,0.255
Northern Europe,0.3917,0.0556
Northern Europe,2.5749,0.0977
Northern Europe,0.9468,0.0173
Northern Europe,8.2366,0.1004
Northern Europe,0.462,0.0464
Northern Europe,3.9632,0.1503
Northern Europe,1.0847,0.1024
Northern Europe,5.2889,0.0118
Northern Europe,3.5872,0.1239
Northern Europe,4.7408,0.0217
Northern Europe,5.7529,0.0193
Northern Europe,5.7554,0.021
Northern Europe,2.8237,0.0262
Northern Europe,4.1376,0.4328
Northern Europe,2.1964,0.1336
Northern Europe,2.6478,0.1831
Northern Europe,7.3897,0.1135
Northern Europe,2.3865,0.02
Northern Europe,1.6717,0.0255
Northern Europe,1.9561,0.1273
Northern Europe,1.5099,0.2553
Northern Europe,1.5506,0.018
Northern Europe,1.1837,0.0926
Northern Europe,1.5437,0.0762
Northern Europe,2.7378,0.0298
Northern Europe,5.4332,0.0465
Northern Europe,4.6335,0.0003
Northern Europe,1.5349,0.0912
Northern Europe,2.8882,0.0072
Northern Europe,2.0122,0.0237
Northern Europe,3.1455,0.0295
Northern Europe,1.1431,0.0006
Northern Europe,1.9263,0.2083
Northern Europe,1.7083,0.0178
Northern Europe,3.4535,0.0125
Northern Europe,2.9025,0.0101
Northern Europe,5.3957,0.0624
Northern Europe,2.1527,0.024
Northern Europe,1.8415,0.0463
Northern Europe,1.443,0.0409
Northern Europe,1.8183,0.0379
Northern Europe,2.0435,0.0212
Northern Europe,2.8491,0.0434
Northern Europe,7.3377,0.0399
Northern Europe,2.5463,0.2269
Northern Europe,1.1453,0.0778
Northern Europe,1.0626,0.143
Northern Europe,3.2137,0.0658
Northern Europe,1.4687,0.044
Northern Europe,2.1542,0.0529
Northern Europe,2.3855,0.2717
Northern Europe,2.5826,0.1591
Northern Europe,3.4416,0.2436
Northern Europe,3.0673,0.0935
Northern Europe,4.0279,0.0141
Northern Europe,3.8408,0.0397
Northern Europe,1.0644,0.0387
Northern Europe,0.3879,0.084
Northern Europe,1.9039,0.3545
Northern Europe,3.4501,0.0834
Northern Europe,1.3373,0.0139
Northern Europe,2.839,0.0611
Northern Europe,4.1959,0.0197
Northern Europe,2.5809,0.0129
Northern Europe,5.3688,0.0212
Central/Western Asia,7.951,0.1251
Central/Western Asia,8.2556,0.1812
Central/Western Asia,9.6875,0.0824
Central/Western Asia,8.9733,0.167
Central/Western Asia,9.3869,0.0078
Central/Western Asia,8.2969,0.068
Central/Western Asia,7.8515,0.0186
Central/Western Asia,9.5819,0.0165
Central/Western Asia,8.1651,0.163
Central/Western Asia,8.3372,0.0433
Central/Western Asia,8.6506,0.0057
Central/Western Asia,9.0333,0.071
Central/Western Asia,9.2357,0.1197
Central/Western Asia,9.1948,0.2096
Central/Western Asia,8.5907,0.0278
Central/Western Asia,8.0028,0.1458
Central/Western Asia,8.2241,0.0098
Central/Western Asia,8.5072,0.1943
Central/Western Asia,8.7778,0.002
Central/Western Asia,8.9314,0.0428
Central/Western Asia,9.307,0.0401
Central/Western Asia,9.6503,0.0453
Central/Western Asia,8.0638,0.0325
Central/Western Asia,8.2214,0.1998
Central/Western Asia,8.2754,0.0261
Central/Western Asia,9.3694,0.0232
Central/Western Asia,8.8759,0.0072
Central/Western Asia,8.4364,0.0676
Central/Western Asia,9.1412,0.1965
Central/Western Asia,8.3641,0.0614
Central/Western Asia,9.5099,0.0499
Central/Western Asia,9.2869,0.1675
Central/Western Asia,9.7437,0.0174
Central/Western Asia,7.9453,0.1828
Central/Western Asia,8.9549,0.0749
Central/Western Asia,9.3248,0.0051
Central/Western Asia,9.6253,0.0662
Central/Western Asia,9.6836,0.0682
Central/Western Asia,9.0152,0.0952
Central/Western Asia,9.8518,0.0305
Central/Western Asia,9.3133,0.0023
Central/Western Asia,8.0506,0.0509
Central/Western Asia,8.9294,0.0371
Central/Western Asia,9.1174,0.0038
Central/Western Asia,9.162,0.0569
Central/Western Asia,8.686,0.0293
Central/Western Asia,7.8736,0.0304
Central/Western Asia,9.0428,0.0401
Central/Western Asia,9.6397,0.0448
Central/Western Asia,8.73,0.0554
Central/Western Asia,8.0236,0.0833
Central/Western Asia,9.4034,0.1521
Central/Western Asia,9.0082,0.02
Central/Western Asia,9.2999,0.0216
Central/Western Asia,8.1373,0.0732
Central/Western Asia,8.1352,0.1883
Central/Western Asia,7.8748,0.0414
Central/Western Asia,8.631,0.0369
Central/Western Asia,8.189,0.0025
Central/Western Asia,9.1756,0.0336
Central/Western Asia,8.5981,0.0008
Central/Western Asia,8.7236,0.218
Central/Western Asia,9.1771,0.0397
Central/Western Asia,8.8761,0.018
Central/Western Asia,9.4038,0.2588
Central/Western Asia,8.1059,0.0968
Central/Western Asia,9.2487,0.1405
Central/Western Asia,9.1391,0.0275
Central/Western Asia,7.5625,0.1812
Central/Western Asia,7.4241,0.0385
Central/Western Asia,8.5463,0.0052
Central/Western Asia,10.0183,0.1329
Central/Western Asia,8.8556,0.1978
Central/Western Asia,8.7698,0.0155
Central/Western Asia,8.6648,0.0304
Central/Western Asia,9.2266,0.0425
Central/Western Asia,9.849,0.0691
Central/Western Asia,9.2702,0.019
Central/Western Asia,9.4797,0.0504
Central/Western Asia,7.553,0.0718
Central/Western Asia,9.4926,0.0672
Central/Western Asia,9.2459,0.1658
Central/Western Asia,8.1083,0.0531
Central/Western Asia,9.1517,0.0384
Central/Western Asia,7.8966,0.0572
Central/Western Asia,8.5806,0.0132
Central/Western Asia,8.9409,0.1667
Central/Western Asia,9.2354,0.0361
Central/Western Asia,8.8238,0.087
Central/Western Asia,9.2439,0.0297
Central/Western Asia,8.9563,0.0239
Central/Western Asia,9.6321,0.2245
Central/Western Asia,8.8446,0.1035
Central/Western Asia,9.2853,0.0907
Central/Western Asia,8.484,0.0782
Central/Western Asia,9.3556,0.23
Central/Western Asia,9.8398,0.1549
Central/Western Asia,8.7149,0.0162
Central/Western Asia,8.041,0.0459
Central/Western Asia,9.2165,0.0544
Central/Western Asia,9.1907,0.0812
Central/Western Asia,9.8297,0.0817
Central/Western Asia,7.9601,0.1655
Central/Western Asia,9.1941,0.0708
Central/Western Asia,7.5377,0.0329
Central/Western Asia,7.9859,0.0657
Central/Western Asia,9.2279,0.0636
Central/Western Asia,9.4914,0.0397
Central/Western Asia,8.0805,0.1696
Central/Western Asia,8.6663,0.1166
Central/Western Asia,9.0641,0.1075
Central/Western Asia,7.4637,0.1381
Central/Western Asia,8.8006,0.0394
Central/Western Asia,9.3363,0.0297
Central/Western Asia,9.0721,0.0145
Central/Western Asia,9.0206,0.0753
Central/Western Asia,9.2202,0.2462
Central/Western Asia,9.0011,0.0053
Central/Western Asia,8.1475,0.0439
Central/Western Asia,8.3162,0.0154
Central/Western Asia,8.6657,0.0754
Central/Western Asia,9.1216,0.1155
Central/Western Asia,9.3016,0.0149
Central/Western Asia,9.9757,0.1092
Central/Western Asia,9.834,0.0401
Central/Western Asia,8.6918,0.0396
Central/Western Asia,9.8559,0.0347
Central/Western Asia,8.7827,0.0253
Central/Western Asia,8.4651,0.0284
Central/Western Asia,8.9296,0.0933
