node,order,phylum,type,presence,fraction,bsh
n129,62,Proteobacteria (N=2474),SAG,0,0.0004,0
n131,63,Proteobacteria (N=2474),WGS,1,0.0899,1
n132,64,Proteobacteria (N=2474),MAG,2,0.0065,1
n134,65,Proteobacteria (N=2474),MAG,0,0.0141,0
n136,66,Proteobacteria (N=2474),WGS,0,0.0048,1
n137,67,Proteobacteria (N=2474),SAG,2,0.0373,0
n139,68,Proteobacteria (N=2474),WGS,2,0.0384,1
n142,69,Proteobacteria (N=2474),MAG,0,0.0764,0
n143,70,Proteobacteria (N=2474),WGS,1,0.1028,0
n145,71,Proteobacteria (N=2474),WGS,2,0.0006,1
n146,72,Proteobacteria (N=2474),WGS,1,0.1064,0
n150,73,Proteobacteria (N=2474),WGS,1,0.0495,1
n151,74,Proteobacteria (N=2474),MAG,0,0.3003,1
n153,75,Proteobacteria (N=2474),WGS,2,0.1041,0
n154,76,Proteobacteria (N=2474),WGS,0,0.0967,1
n158,77,Proteobacteria (N=2474),MAG,2,0.0304,0
n159,78,Proteobacteria (N=2474),WGS,1,0.364,1
n160,79,Proteobacteria (N=2474),WGS,0,0.0718,1
n164,80,Proteobacteria (N=2474),MAG,1,0.0057,1
n165,81,Proteobacteria (N=2474),WGS,2,0.1371,1
n166,82,Proteobacteria (N=2474),WGS,1,0.002,1
n168,83,Proteobacteria (N=2474),WGS,1,0.1482,1
n169,84,Proteobacteria (N=2474),MAG,0,0.0107,1
n176,85,Proteobacteria (N=2474),WGS,1,0.2248,1
n177,86,Proteobacteria (N=2474),WGS,1,0.0208,1
n179,87,Proteobacteria (N=2474),MAG,2,0.0201,1
n180,88,Proteobacteria (N=2474),MAG,1,0.1692,1
n183,89,Proteobacteria (N=2474),MAG,0,0.0267,0
n185,90,Proteobacteria (N=2474),WGS,1,0.0141,1
n187,91,Proteobacteria (N=2474),MAG,0,0.0316,1
n188,92,Proteobacteria (N=2474),WGS,0,0.1564,1
n191,93,Proteobacteria (N=2474),MAG,1,0.1582,1
n192,94,Proteobacteria (N=2474),WGS,2,0.0042,0
n195,95,Proteobacteria (N=2474),WGS,1,0.1095,1
n196,96,Proteobacteria (N=2474),WGS,1,0.1577,1
n197,97,Proteobacteria (N=2474),MAG,2,0.0622,1
n200,98,Proteobacteria (N=2474),MAG,1,0.3391,0
n201,99,Proteobacteria (N=2474),MAG,2,0.1819,0
n204,100,Proteobacteria (N=2474),WGS,1,0.0154,1
n205,101,Proteobacteria (N=2474),SAG,0,0.186,0
n208,102,Proteobacteria (N=2474),MAG,2,0.0005,1
n209,103,Proteobacteria (N=2474),SAG,1,0.0204,1
n210,104,Proteobacteria (N=2474),WGS,1,0.0432,1
n215,105,Proteobacteria (N=2474),WGS,1,0.1108,0
n217,106,Proteobacteria (N=2474),SAG,1,0.1321,1
n218,107,Proteobacteria (N=2474),WGS,0,0.0055,1
n221,108,Proteobacteria (N=2474),WGS,0,0.0607,0
n222,109,Proteobacteria (N=2474),SAG,1,0.0536,0
n224,110,Proteobacteria (N=2474),WGS,1,0.0038,0
n226,111,Proteobacteria (N=2474),WGS,2,0.0751,1
n227,112,Proteobacteria (N=2474),MAG,2,0.1702,0
n230,113,Proteobacteria (N=2474),SAG,1,0.0042,1
n233,114,Proteobacteria (N=2474),WGS,1,0.1183,1
n234,115,Proteobacteria (N=2474),MAG,0,0.0005,1
n235,116,Proteobacteria (N=2474),WGS,1,0.0115,1
n237,117,Proteobacteria (N=2474),WGS,1,0.0047,1
n239,118,Proteobacteria (N=2474),MAG,1,0.0262,0
n240,119,Proteobacteria (N=2474),WGS,1,0.0944,1
n244,120,Proteobacteria (N=2474),MAG,2,0.0193,0
n245,121,Proteobacteria (N=2474),MAG,1,0.4206,0
n247,122,Proteobacteria (N=2474),MAG,1,0.002,1
n248,123,Proteobacteria (N=2474),WGS,0,0.0488,0
n251,124,Proteobacteria (N=2474),MAG,1,0.0164,0
n253,125,Proteobacteria (N=2474),MAG,0,0.2434,1
n254,126,Proteobacteria (N=2474),WGS,1,0.1357,1
n256,127,Proteobacteria (N=2474),WGS,0,0.0151,1
n259,128,Proteobacteria (N=2474),MAG,1,0.2237,1
n260,129,Proteobacteria (N=2474),MAG,0,0.1644,0
n261,130,Proteobacteria (N=2474),WGS,0,0.1714,1
n265,131,Proteobacteria (N=2474),WGS,0,0.0238,1
n267,132,Proteobacteria (N=2474),WGS,1,0.0893,1
n269,133,Proteobacteria (N=2474),MAG,1,0.2746,0
n270,134,Proteobacteria (N=2474),MAG,2,0.011,1
n274,135,Proteobacteria (N=2474),SAG,1,0.069,1
n275,136,Proteobacteria (N=2474),MAG,2,0.0722,1
n277,137,Proteobacteria (N=2474),WGS,1,0.0545,1
n278,138,Proteobacteria (N=2474),WGS,0,0.0003,1
n281,139,Proteobacteria (N=2474),WGS,1,0.0406,1
n282,140,Proteobacteria (N=2474),WGS,0,0.1599,0
n283,141,Proteobacteria (N=2474),MAG,1,0.1957,1
n288,142,Proteobacteria (N=2474),MAG,2,0.0343,0
n289,143,Proteobacteria (N=2474),MAG,1,0.0588,1
n291,144,Proteobacteria (N=2474),WGS,1,0.0183,1
n292,145,Proteobacteria (N=2474),MAG,1,0.0484,0
n296,146,Proteobacteria (N=2474),WGS,1,0.0689,0
n297,147,Proteobacteria (N=2474),MAG,0,0.0027,1
n299,148,Proteobacteria (N=2474),MAG,0,0.042,0
n300,149,Proteobacteria (N=2474),WGS,2,0.0643,0
n303,150,Proteobacteria (N=2474),WGS,1,0.065,0
n304,151,Proteobacteria (N=2474),WGS,1,0.0812,1
n306,152,Proteobacteria (N=2474),MAG,0,0.003,1
n307,153,Proteobacteria (N=2474),MAG,0,0.0062,1
n310,154,Proteobacteria (N=2474),WGS,0,0.0478,1
n312,155,Proteobacteria (N=2474),MAG,1,0.1041,1
n314,156,Proteobacteria (N=2474),WGS,0,0.0004,1
n315,157,Proteobacteria (N=2474),MAG,1,0.025,0
n318,158,Proteobacteria (N=2474),WGS,1,0.0275,0
n319,159,Proteobacteria (N=2474),WGS,0,0.0208,1
n322,160,Proteobacteria (N=2474),WGS,2,0.0622,1
n323,161,Proteobacteria (N=2474),MAG,1,0.0187,0
n325,162,Proteobacteria (N=2474),MAG,1,0.2736,0
n326,163,Proteobacteria (N=2474),WGS,1,0.0738,0
n332,164,Proteobacteria (N=2474),WGS,1,0.0588,0
n334,165,Proteobacteria (N=2474),WGS,0,0.0277,1
n335,166,Proteobacteria (N=2474),WGS,0,0.0973,0
n339,167,Proteobacteria (N=2474),WGS,1,0.0037,1
n340,168,Proteobacteria (N=2474),SAG,1,0.0693,1
n341,169,Proteobacteria (N=2474),MAG,0,0.1322,1
n343,170,Proteobacteria (N=2474),MAG,0,0.0491,1
n346,171,Proteobacteria (N=2474),SAG,0,0.023,1
n347,172,Proteobacteria (N=2474),WGS,2,0.0009,0
n348,173,Proteobacteria (N=2474),WGS,1,0.0394,0
n353,174,Proteobacteria (N=2474),MAG,0,0.0716,1
n355,175,Proteobacteria (N=2474),MAG,1,0.2178,0
n356,176,Proteobacteria (N=2474),WGS,1,0.0466,0
n358,177,Proteobacteria (N=2474),WGS,1,0.1168,1
n359,178,Proteobacteria (N=2474),MAG,1,0.0191,1
n361,179,Proteobacteria (N=2474),WGS,1,0.0278,1
n363,180,Proteobacteria (N=2474),WGS,0,0.1192,1
n364,181,Proteobacteria (N=2474),MAG,1,0.0058,1
n367,182,Proteobacteria (N=2474),WGS,1,0.0077,1
n370,183,Proteobacteria (N=2474),MAG,1,0.0873,1
n371,184,Proteobacteria (N=2474),MAG,0,0.0156,1
n372,185,Proteobacteria (N=2474),WGS,2,0.0356,0
n375,186,Proteobacteria (N=2474),MAG,1,0.1859,1
n376,187,Proteobacteria (N=2474),MAG,0,0.0139,0
n380,188,Proteobacteria (N=2474),WGS,0,0.0592,1
n381,189,Proteobacteria (N=2474),MAG,2,0.1002,0
n383,190,Proteobacteria (N=2474),WGS,1,0.1663,1
n384,191,Proteobacteria (N=2474),WGS,2,0.0013,0
n386,192,Proteobacteria (N=2474),WGS,1,0.0338,1
n387,193,Proteobacteria (N=2474),WGS,0,0.0038,1
n393,194,Proteobacteria (N=2474),WGS,0,0.1059,1
n394,195,Proteobacteria (N=2474),WGS,1,0.0339,0
n396,196,Proteobacteria (N=2474),WGS,0,0.1151,1
n397,197,Proteobacteria (N=2474),MAG,1,0.1358,0
n399,198,Proteobacteria (N=2474),MAG,0,0.0228,0
n400,199,Proteobacteria (N=2474),WGS,2,0.0301,0
n404,200,Proteobacteria (N=2474),WGS,2,0.1041,1
n405,201,Proteobacteria (N=2474),MAG,0,0.1469,1
n407,202,Proteobacteria (N=2474),WGS,2,0.0005,1
n408,203,Proteobacteria (N=2474),WGS,2,0.0068,1
n411,204,Proteobacteria (N=2474),WGS,2,0.2814,0
n413,205,Proteobacteria (N=2474),SAG,2,0.0924,1
n414,206,Proteobacteria (N=2474),WGS,0,0.0219,1
n416,207,Proteobacteria (N=2474),WGS,1,0.0921,1
n419,208,Proteobacteria (N=2474),WGS,1,0.004,1
n420,209,Proteobacteria (N=2474),WGS,0,0.0064,1
n421,210,Proteobacteria (N=2474),WGS,0,0.0083,1
n425,211,Proteobacteria (N=2474),MAG,0,0.0946,0
n426,212,Proteobacteria (N=2474),MAG,0,0.1052,0
n427,213,Proteobacteria (N=2474),MAG,0,0.0875,1
n430,214,Proteobacteria (N=2474),WGS,1,0.0138,1
n433,215,Proteobacteria (N=2474),WGS,1,0.1881,1
n434,216,Proteobacteria (N=2474),SAG,2,0.0281,1
n436,217,Proteobacteria (N=2474),WGS,0,0.0107,1
n437,218,Proteobacteria (N=2474),WGS,2,0.0004,0
n440,219,Proteobacteria (N=2474),MAG,0,0.0882,0
n441,220,Proteobacteria (N=2474),WGS,0,0.3821,0
n442,221,Proteobacteria (N=2474),MAG,2,0.169,1
n448,222,Proteobacteria (N=2474),MAG,0,0.1743,1
n450,223,Proteobacteria (N=2474),MAG,1,0.257,0
n451,224,Proteobacteria (N=2474),WGS,0,0.1744,1
n453,225,Proteobacteria (N=2474),WGS,0,0.0576,0
n454,226,Proteobacteria (N=2474),MAG,1,0.0499,1
n456,227,Proteobacteria (N=2474),MAG,1,0.0118,0
n458,228,Proteobacteria (N=2474),WGS,0,0.2738,0
n459,229,Proteobacteria (N=2474),WGS,2,0.095,1
n463,230,Proteobacteria (N=2474),WGS,1,0.2132,0
n464,231,Proteobacteria (N=2474),MAG,0,0.0024,1
n466,232,Proteobacteria (N=2474),WGS,0,0.0487,1
n469,233,Proteobacteria (N=2474),WGS,1,0.0565,1
n470,234,Proteobacteria (N=2474),WGS,1,0.1388,0
n472,235,Proteobacteria (N=2474),WGS,1,0.0593,1
n473,236,Proteobacteria (N=2474),WGS,1,0.0018,1
n476,237,Proteobacteria (N=2474),WGS,2,0.0476,0
n478,238,Proteobacteria (N=2474),MAG,0,0.0153,1
n479,239,Proteobacteria (N=2474),MAG,0,0.1201,1
n482,240,Proteobacteria (N=2474),MAG,0,0.2069,1
n483,241,Proteobacteria (N=2474),WGS,1,0.1594,0
n485,242,Proteobacteria (N=2474),WGS,0,0.1144,1
n486,243,Proteobacteria (N=2474),SAG,1,0.0694,1
n493,244,Proteobacteria (N=2474),SAG,0,0.1028,1
n494,245,Proteobacteria (N=2474),WGS,1,0.2022,0
n495,246,Proteobacteria (N=2474),MAG,1,0.0652,1
n497,247,Proteobacteria (N=2474),WGS,0,0.0842,1
n498,248,Proteobacteria (N=2474),WGS,0,0.1402,0
n501,249,Proteobacteria (N=2474),WGS,1,0.2582,1
n503,250,Proteobacteria (N=2474),MAG,1,0.2477,1
n504,251,Proteobacteria (N=2474),MAG,2,0.0196,1
n507,252,Proteobacteria (N=2474),WGS,1,0.2905,1
n509,253,Proteobacteria (N=2474),WGS,1,0.0001,0
n510,254,Proteobacteria (N=2474),WGS,0,0.0363,1
n512,255,Proteobacteria (N=2474),MAG,0,0.023,1
n513,256,Proteobacteria (N=2474),MAG,0,0.0276,0
n517,257,Proteobacteria (N=2474),WGS,2,0.028,1
n519,258,Proteobacteria (N=2474),WGS,1,0.0523,1
n521,259,Proteobacteria (N=2474),MAG,0,0.0369,1
n522,260,Proteobacteria (N=2474),MAG,0,0.0596,0
n525,261,Proteobacteria (N=2474),WGS,0,0.0177,1
n526,262,Proteobacteria (N=2474),MAG,2,0.0586,0
n529,263,Proteobacteria (N=2474),SAG,1,0.1515,1
n530,264,Proteobacteria (N=2474),MAG,2,0.0023,1
n531,265,Proteobacteria (N=2474),WGS,1,0.0098,1
n534,266,Proteobacteria (N=2474),WGS,1,0.0044,1
n535,267,Proteobacteria (N=2474),MAG,1,0.3229,0
n538,268,Proteobacteria (N=2474),WGS,0,0.2847,1
n539,269,Proteobacteria (N=2474),SAG,1,0.1082,1
n540,270,Proteobacteria (N=2474),SAG,0,0.0725,1
n545,271,Proteobacteria (N=2474),MAG,2,0.1275,1
n546,272,Proteobacteria (N=2474),SAG,1,0.1311,0
n548,273,Proteobacteria (N=2474),WGS,2,0.014,1
n549,274,Proteobacteria (N=2474),WGS,1,0.0324,0
n552,275,Proteobacteria (N=2474),WGS,0,0.0048,1
n554,276,Proteobacteria (N=2474),MAG,1,0.39,0
n555,277,Proteobacteria (N=2474),MAG,0,0.027,0
n558,278,Proteobacteria (N=2474),WGS,0,0.0246,1
n559,279,Proteobacteria (N=2474),SAG,1,0.0415,1
n560,280,Proteobacteria (N=2474),MAG,2,0.011,1
n562,281,Proteobacteria (N=2474),WGS,1,0.0548,1
n564,282,Proteobacteria (N=2474),MAG,1,0.1556,0
n566,283,Proteobacteria (N=2474),MAG,0,0.0204,0
n568,284,Proteobacteria (N=2474),MAG,0,0.0005,1
n569,285,Proteobacteria (N=2474),MAG,1,0.0864,1
n572,286,Marinisomatota (N=76),WGS,2,0.0839,0
n573,287,Marinisomatota (N=76),WGS,1,0.0686,1
n576,288,Marinisomatota (N=76),WGS,0,0.0293,0
n578,289,Marinisomatota (N=76),WGS,0,0.3115,0
n580,290,Marinisomatota (N=76),MAG,1,0.0812,1
n581,291,Marinisomatota (N=76),MAG,2,0.0147,1
n583,292,Marinisomatota (N=76),WGS,1,0.084,1
n584,293,Marinisomatota (N=76),WGS,0,0.1493,1
n589,294,Desulfobacterota (N=78),MAG,1,0.2748,1
n590,295,Desulfobacterota (N=78),MAG,0,0.1402,0
n593,296,Desulfobacterota (N=78),MAG,1,0.0303,1
n595,297,Desulfobacterota (N=78),WGS,2,0.0462,0
n596,298,Desulfobacterota (N=78),SAG,1,0.029,0
n598,299,Desulfobacterota (N=78),MAG,0,0.0802,0
n599,300,Desulfobacterota (N=78),MAG,0,0.0659,0
n602,301,Desulfobacterota (N=78),WGS,1,0.0215,1
n605,302,Desulfobacterota (N=78),MAG,2,0.0016,0
n606,303,Desulfobacterota (N=78),MAG,1,0.1297,1
n607,304,Desulfobacterota (N=78),MAG,1,0.1393,1
n609,305,Desulfobacterota (N=78),SAG,1,0.002,1
n611,306,Desulfobacterota (N=78),WGS,0,0.0428,1
n612,307,Desulfobacterota (N=78),WGS,1,0.2683,1
n617,308,Desulfobacterota (N=78),MAG,0,0.2402,0
n618,309,Desulfobacterota (N=78),WGS,0,0.0102,1
n620,310,Desulfobacterota (N=78),WGS,2,0.0871,1
n621,311,Desulfobacterota (N=78),WGS,1,0.0087,1
n623,312,Desulfobacterota (N=78),SAG,2,0.2055,1
n624,313,Desulfobacterota (N=78),MAG,2,0.117,1
n626,314,Desulfobacterota (N=78),WGS,0,0.0231,1
n629,315,Desulfobacterota (N=78),MAG,1,0.037,1
n630,316,Desulfobacterota (N=78),SAG,1,0.0665,1
n631,317,Desulfobacterota (N=78),MAG,0,0.0205,0
n638,318,Bacteroidota (N=822),MAG,1,0.1606,1
n641,319,Bacteroidota (N=822),WGS,1,0.0049,0
n642,320,Bacteroidota (N=822),MAG,2,0.0954,0
n643,321,Bacteroidota (N=822),WGS,1,0.0575,1
n645,322,Bacteroidota (N=822),MAG,1,0.0647,1
n646,323,Bacteroidota (N=822),WGS,2,0.2031,1
n648,324,Bacteroidota (N=822),MAG,0,0.1705,1
n650,325,Bacteroidota (N=822),WGS,0,0.0363,0
n651,326,Bacteroidota (N=822),SAG,2,0.1854,0
n656,327,Bacteroidota (N=822),WGS,0,0.0509,1
n657,328,Bacteroidota (N=822),WGS,2,0.0486,1
n659,329,Bacteroidota (N=822),MAG,0,0.1228,0
n660,330,Bacteroidota (N=822),WGS,1,0.0184,0
n663,331,Bacteroidota (N=822),WGS,1,0.0763,0
n665,332,Bacteroidota (N=822),MAG,0,0.0579,1
n666,333,Bacteroidota (N=822),WGS,1,0.191,1
n668,334,Bacteroidota (N=822),MAG,0,0.0082,0
n670,335,Bacteroidota (N=822),MAG,1,0.2896,0
n671,336,Bacteroidota (N=822),WGS,0,0.2328,0
n674,337,Bacteroidota (N=822),WGS,1,0.086,0
n676,338,Bacteroidota (N=822),WGS,2,0.0614,0
n677,339,Bacteroidota (N=822),MAG,0,0.0425,0
n679,340,Bacteroidota (N=822),WGS,0,0.0004,1
n680,341,Bacteroidota (N=822),MAG,0,0.1396,1
n686,342,Bacteroidota (N=822),MAG,2,0.0221,0
n687,343,Bacteroidota (N=822),WGS,1,0.0513,1
n689,344,Bacteroidota (N=822),WGS,1,0.0001,1
n690,345,Bacteroidota (N=822),MAG,2,0.0799,0
n692,346,Bacteroidota (N=822),MAG,1,0.0778,0
n693,347,Bacteroidota (N=822),WGS,1,0.0178,0
n695,348,Bacteroidota (N=822),MAG,0,0.0548,1
n697,349,Bacteroidota (N=822),MAG,0,0.1317,1
n698,350,Bacteroidota (N=822),SAG,1,0.0664,1
n701,351,Bacteroidota (N=822),WGS,1,0.0638,0
n704,352,Bacteroidota (N=822),WGS,1,0.0843,1
n705,353,Bacteroidota (N=822),MAG,1,0.2834,0
n707,354,Bacteroidota (N=822),MAG,0,0.1008,1
n708,355,Bacteroidota (N=822),MAG,0,0.0004,0
n711,356,Bacteroidota (N=822),WGS,0,0.0924,0
n714,357,Bacteroidota (N=822),WGS,0,0.1579,1
n715,358,Bacteroidota (N=822),WGS,0,0.094,0
n716,359,Bacteroidota (N=822),MAG,1,0.0398,1
n718,360,Bacteroidota (N=822),WGS,1,0.1125,1
n719,361,Bacteroidota (N=822),MAG,2,0.0387,1
n725,362,Bacteroidota (N=822),WGS,2,0.0002,1
n727,363,Bacteroidota (N=822),WGS,0,0.0898,1
n729,364,Bacteroidota (N=822),MAG,0,0.0045,1
n730,365,Bacteroidota (N=822),WGS,0,0.0099,1
n733,366,Bacteroidota (N=822),MAG,0,0.0012,0
n734,367,Bacteroidota (N=822),MAG,1,0.0178,1
n735,368,Bacteroidota (N=822),WGS,0,0.1342,1
n738,369,Bacteroidota (N=822),MAG,0,0.214,1
n740,370,Bacteroidota (N=822),WGS,0,0.0058,0
n741,371,Bacteroidota (N=822),WGS,1,0.0118,0
n743,372,Bacteroidota (N=822),WGS,1,0.2097,0
n745,373,Bacteroidota (N=822),WGS,0,0.05,0
n747,374,Bacteroidota (N=822),WGS,2,0.0441,0
n748,375,Bacteroidota (N=822),WGS,2,0.1039,1
n751,376,Bacteroidota (N=822),WGS,0,0.0198,1
n752,377,Bacteroidota (N=822),WGS,2,0.1039,0
n755,378,Bacteroidota (N=822),WGS,1,0.0982,1
n756,379,Bacteroidota (N=822),MAG,1,0.0001,1
n758,380,Bacteroidota (N=822),SAG,1,0.2292,1
n760,381,Bacteroidota (N=822),MAG,1,0.0754,0
n761,382,Bacteroidota (N=822),MAG,1,0.0099,1
n766,383,Bacteroidota (N=822),WGS,1,0.0419,1
n768,384,Bacteroidota (N=822),WGS,0,0.0335,0
n769,385,Bacteroidota (N=822),WGS,2,0.048,1
n771,386,Bacteroidota (N=822),MAG,1,0.2408,0
n772,387,Bacteroidota (N=822),MAG,2,0.1355,0
n775,388,Bacteroidota (N=822),MAG,0,0.1944,0
n777,389,Bacteroidota (N=822),WGS,1,0.0045,1
n778,390,Bacteroidota (N=822),MAG,0,0.0044,1
n780,391,Bacteroidota (N=822),WGS,0,0.0441,0
n781,392,Bacteroidota (N=822),WGS,0,0.0038,1
n785,393,Bacteroidota (N=822),WGS,0,0.0735,0
n788,394,Bacteroidota (N=822),MAG,0,0.1681,1
n789,395,Bacteroidota (N=822),MAG,1,0.216,0
n791,396,Bacteroidota (N=822),MAG,1,0.0082,1
n792,397,Bacteroidota (N=822),MAG,1,0.0465,0
n794,398,Bacteroidota (N=822),WGS,1,0.0136,1
n796,399,Bacteroidota (N=822),MAG,1,0.0769,0
n798,400,Bacteroidota (N=822),WGS,1,0.1115,0
n799,401,Bacteroidota (N=822),MAG,1,0.0145,0
n803,402,Bacteroidota (N=822),WGS,0,0.011,0
n804,403,Bacteroidota (N=822),MAG,2,0.0454,1
n805,404,Bacteroidota (N=822),SAG,1,0.0121,1
n808,405,Bacteroidota (N=822),WGS,1,0.2105,1
n809,406,Bacteroidota (N=822),WGS,0,0.0263,1
n810,407,Bacteroidota (N=822),MAG,2,0.0036,1
n813,408,Chloroflexota (N=117),WGS,2,0.109,1
n815,409,Chloroflexota (N=117),WGS,2,0.0327,0
n817,410,Chloroflexota (N=117),MAG,0,0.1139,1
n818,411,Chloroflexota (N=117),WGS,1,0.0516,1
n821,412,Chloroflexota (N=117),WGS,0,0.0171,0
n822,413,Chloroflexota (N=117),WGS,1,0.0125,0
n825,414,Chloroflexota (N=117),SAG,0,0.006,0
n827,415,Chloroflexota (N=117),WGS,2,0.1673,1
n828,416,Chloroflexota (N=117),WGS,0,0.1411,0
n830,417,Chloroflexota (N=117),WGS,0,0.2715,1
n832,418,Chloroflexota (N=117),MAG,1,0.1811,1
n833,419,Chloroflexota (N=117),WGS,1,0.2204,1
n839,420,Planctomycetota (N=123),WGS,2,0.153,1
n840,421,Planctomycetota (N=123),MAG,0,0.1574,1
n841,422,Planctomycetota (N=123),MAG,0,0.0026,0
n843,423,Planctomycetota (N=123),MAG,1,0.1295,1
n845,424,Planctomycetota (N=123),MAG,0,0.0805,1
n846,425,Planctomycetota (N=123),MAG,1,0.1172,1
n849,426,Planctomycetota (N=123),WGS,0,0.0265,0
n851,427,Planctomycetota (N=123),MAG,0,0.2722,1
n852,428,Planctomycetota (N=123),MAG,2,0.0855,0
n856,429,Planctomycetota (N=123),WGS,0,0.0529,1
n857,430,Planctomycetota (N=123),WGS,0,0.0523,0
n858,431,Planctomycetota (N=123),MAG,1,0.0437,0
n861,432,Planctomycetota (N=123),MAG,0,0.0326,1
n862,433,Planctomycetota (N=123),MAG,1,0.2125,1
n863,434,Planctomycetota (N=123),WGS,1,0.1858,1
n866,435,Planctomycetota (N=123),MAG,1,0.0072,0
n868,436,Planctomycetota (N=123),MAG,0,0.0807,1
n869,437,Planctomycetota (N=123),SAG,0,0.0897,0
n873,438,Planctomycetota (N=123),MAG,1,0.0773,0
n874,439,Planctomycetota (N=123),WGS,0,0.3633,0
n876,440,Planctomycetota (N=123),SAG,0,0.0874,1
n877,441,Planctomycetota (N=123),SAG,1,0.1109,1
n880,442,Planctomycetota (N=123),WGS,1,0.2061,0
n881,443,Planctomycetota (N=123),MAG,0,0.1397,1
n882,444,Planctomycetota (N=123),MAG,1,0.234,1
n887,445,Firmicutes (N=187),WGS,1,0.2929,0
n888,446,Firmicutes (N=187),SAG,0,0.0141,1
n891,447,Firmicutes (N=187),MAG,2,0.0213,1
n892,448,Firmicutes (N=187),MAG,1,0.2126,1
n894,449,Firmicutes (N=187),WGS,1,0.06,1
n895,450,Firmicutes (N=187),WGS,1,0.14,0
n899,451,Firmicutes (N=187),MAG,1,0.2048,1
n900,452,Firmicutes (N=187),MAG,0,0.0006,0
n901,453,Firmicutes (N=187),WGS,0,0.1198,0
n903,454,Firmicutes (N=187),WGS,0,0.0111,1
n904,455,Firmicutes (N=187),WGS,2,0.2269,0
n907,456,Firmicutes (N=187),WGS,0,0.0022,1
n909,457,Firmicutes (N=187),WGS,1,0.0245,1
n911,458,Firmicutes (N=187),MAG,2,0.0736,1
n912,459,Firmicutes (N=187),WGS,1,0.1122,0
n915,460,Firmicutes (N=187),MAG,1,0.1196,1
n917,461,Firmicutes (N=187),WGS,1,0.1316,0
n918,462,Firmicutes (N=187),MAG,1,0.1265,0
n921,463,Firmicutes (N=187),MAG,1,0.0556,0
n922,464,Firmicutes (N=187),MAG,1,0.0064,1
