node,order,phylum,type,presence,fraction,bsh
n202,102,Firmicutes,WGS,0,0.1327,0
n204,103,Firmicutes,WGS,2,0.16,0
n205,104,Firmicutes,MAG,0,0.1245,0
n207,105,Firmicutes,WGS,1,0.0639,1
n209,106,Firmicutes,WGS,1,0.031,0
n211,107,Firmicutes,WGS,0,0.0155,0
n212,108,Firmicutes,MAG,2,0.0546,0
n216,109,Firmicutes,MAG,0,0.0025,1
n217,110,Firmicutes,MAG,2,0.0004,1
n218,111,Firmicutes,WGS,1,0.0488,1
n220,112,Firmicutes,SAG,2,0.0286,1
n221,113,Firmicutes,MAG,1,0.1126,0
n225,114,Actinobacteria,WGS,1,0.0139,1
n226,115,Actinobacteria,MAG,0,0.2101,1
n227,116,Actinobacteria,WGS,1,0.0086,1
n229,117,Actinobacteria,WGS,0,0.0107,0
n231,118,Actinobacteria,SAG,0,0.0086,0
n232,119,Actinobacteria,MAG,0,0.0269,0
n237,120,Actinobacteria,WGS,1,0.1267,0
n238,121,Actinobacteria,WGS,2,0.0199,1
n239,122,Actinobacteria,MAG,0,0.0254,1
n241,123,Actinobacteria,MAG,0,0.2516,1
n242,124,Actinobacteria,WGS,0,0.0477,0
n245,125,Actinobacteria,MAG,0,0.0003,0
n246,126,Actinobacteria,MAG,1,0.0436,0
n249,127,Actinobacteria,WGS,0,0.1556,1
n250,128,Actinobacteria,MAG,0,0.3751,1
n252,129,Actinobacteria,WGS,2,0.0012,1
n255,130,Actinobacteria,MAG,0,0.0289,1
n256,131,Actinobacteria,WGS,1,0.4123,1
n257,132,Actinobacteria,SAG,0,0.0012,0
