group,value,jitter
subtilis,16.9034,0.2935
subtilis,11.1954,-0.4295
subtilis,9.0848,0.3896
subtilis,15.775,0.2204
subtilis,16.2503,-0.0793
subtilis,8.5945,-0.2984
subtilis,10.9865,-0.4894
subtilis,12.9181,0.429
subtilis,16.889,-0.2319
subtilis,22.1836,-0.3103
subtilis,18.9059,-0.4693
subtilis,14.3145,0.4689
subtilis,12.6535,-0.2635
subtilis,7.6619,0.4356
subtilis,13.6452,-0.2143
subtilis,9.016,-0.0903
subtilis,13.0536,-0.4794
subtilis,12.3782,0.1452
subtilis,14.51,0.3432
subtilis,17.0303,-0.0891
subtilis,11.8669,0.2427
subtilis,19.8679,0.4457
subtilis,15.3695,-0.0734
subtilis,17.5994,-0.2482
subtilis,10.0946,-0.4094
subtilis,15.8549,0.4184
subtilis,13.9555,-0.4892
subtilis,9.8347,0.2623
subtilis,16.2043,0.2845
subtilis,14.9946,-0.0743
subtilis,14.8219,0.3862
subtilis,10.5071,-0.4518
subtilis,20.7377,-0.1401
subtilis,9.9622,-0.3535
subtilis,21.717,-0.1569
subtilis,5.1566,0.4527
subtilis,9.5224,-0.3818
subtilis,16.4402,0.3084
subtilis,13.8811,-0.342
subtilis,12.3983,-0.3372
subtilis,10.9849,0.1343
subtilis,22.1121,-0.1736
subtilis,11.7868,-0.13
subtilis,9.026,0.4607
subtilis,13.7839,-0.254
subtilis,16.4239,-0.0369
subtilis,20.1154,-0.346
subtilis,16.4724,0.2244
subtilis,14.9965,0.4095
subtilis,16.0636,0.2353
subtilis,12.2355,0.4118
subtilis,9.8016,0.4222
subtilis,10.74,-0.251
subtilis,14.3942,-0.2069
subtilis,15.0722,-0.0056
subtilis,11.6684,0.1453
subtilis,11.6887,-0.2742
subtilis,12.1368,0.3732
subtilis,6.0722,0.3136
subtilis,17.5584,0.2445
subtilis,9.0196,0.4586
subtilis,9.0763,-0.0177
subtilis,12.6339,-0.3877
subtilis,18.7745,0.0586
subtilis,7.731,0.4185
subtilis,11.2318,0.0028
subtilis,16.5261,0.286
subtilis,5.7821,-0.4197
subtilis,16.3646,0.247
subtilis,13.6009,-0.2726
subtilis,18.8949,-0.1555
subtilis,11.0836,-0.1054
subtilis,14.0645,-0.0905
subtilis,11.0708,0.472
subtilis,11.0187,0.2295
subtilis,16.8536,-0.3494
subtilis,8.7679,0.4796
subtilis,15.356,-0.4949
subtilis,16.5863,0.4729
subtilis,14.9965,-0.3173
subtilis,18.0635,0.2373
subtilis,7.1365,-0.2031
subtilis,7.6711,0.116
subtilis,16.5479,-0.3402
subtilis,14.2345,0.4479
subtilis,17.6042,0.4544
subtilis,8.508,0.0776
subtilis,9.3567,-0.4409
subtilis,10.0642,0.4835
subtilis,17.2957,-0.1873
subtilis,16.3782,-0.1375
subtilis,11.6779,0.006
subtilis,13.3103,-0.1595
subtilis,11.2724,0.4572
subtilis,18.097,0.0136
subtilis,14.6564,0.3717
subtilis,11.5249,-0.1772
subtilis,8.9518,0.1898
subtilis,15.9983,0.4808
subtilis,19.2095,0.3908
subtilis,13.4361,0.2873
subtilis,16.2438,0.055
subtilis,14.6048,-0.0242
subtilis,26.2306,0.3897
subtilis,19.0682,0.2709
subtilis,15.5075,0.2822
subtilis,3.9124,0.3825
subtilis,10.167,-0.4335
subtilis,14.6807,-0.2962
subtilis,15.0501,-0.0568
subtilis,13.0269,-0.3215
subtilis,11.0996,0.4101
subtilis,11.2033,0.4999
subtilis,15.1449,-0.1658
subtilis,21.1198,0.0873
subtilis,10.0126,-0.1953
subtilis,22.7891,0.2536
subtilis,17.8717,0.4061
subtilis,9.6842,-0.0495
subtilis,15.7273,-0.2314
subtilis,15.7564,-0.3029
subtilis,8.5538,0.1883
subtilis,16.7359,0.269
subtilis,21.0915,-0.4923
subtilis,14.8427,-0.2016
subtilis,7.7076,0.3238
subtilis,10.6169,0.0753
subtilis,8.8948,-0.2369
subtilis,20.9624,0.0688
subtilis,14.337,0.0507
subtilis,8.5062,0.1447
subtilis,18.8693,0.2465
subtilis,19.5067,-0.176
subtilis,14.0373,0.0812
subtilis,7.9211,0.3228
subtilis,11.8413,0.2994
subtilis,11.284,-0.4825
subtilis,17.0356,-0.397
subtilis,13.5326,-0.1393
subtilis,16.8978,0.1626
subtilis,16.0867,0.3532
subtilis,12.9479,-0.3438
subtilis,8.863,-0.4067
subtilis,10.9413,0.2847
subtilis,13.6665,0.288
subtilis,11.5125,0.128
subtilis,18.951,0.3734
subtilis,7.4348,-0.0391
subtilis,13.1299,0.04
subtilis,8.7892,-0.1277
subtilis,9.9083,0.4728
subtilis,12.5455,-0.0997
subtilis,11.0959,0.2748
subtilis,18.0532,-0.199
subtilis,11.9973,-0.3306
subtilis,11.5879,0.1594
subtilis,10.2575,0.2318
subtilis,17.2053,-0.4254
subtilis,12.0999,-0.4077
subtilis,15.1704,0.3084
subtilis,9.1158,-0.1691
subtilis,3.8986,-0.2003
subtilis,12.3492,-0.3018
subtilis,23.1246,-0.1723
subtilis,21.1542,-0.2533
subtilis,17.0393,0.1652
subtilis,7.0167,0.3283
subtilis,12.4848,0.4332
subtilis,13.6671,0.3742
subtilis,12.2003,-0.4605
subtilis,17.445,0.0783
subtilis,11.7459,-0.0184
subtilis,13.3681,0.3687
subtilis,12.684,0.1885
subtilis,10.5227,-0.0428
subtilis,10.0446,0.0454
subtilis,14.808,0.3329
subtilis,12.2968,-0.2567
subtilis,14.8361,-0.0965
subtilis,16.035,-0.047
subtilis,13.0038,0.0133
subtilis,12.6726,0.1781
subtilis,17.1113,-0.0816
subtilis,16.0279,-0.1238
subtilis,7.9094,-0.1115
subtilis,19.11,-0.3534
subtilis,12.7298,0.0379
subtilis,17.1892,0.0655
subtilis,10.5969,0.1483
subtilis,15.5713,0.0152
subtilis,17.215,-0.2776
subtilis,4.6093,0.1204
subtilis,8.254,-0.2197
subtilis,9.7967,-0.1698
subtilis,10.2352,0.1891
subtilis,21.0302,-0.0063
subtilis,6.8735,-0.1846
subtilis,20.8817,-0.0786
subtilis,23.9582,0.115
subtilis,10.5244,0.14
subtilis,7.1207,-0.2459
subtilis,15.594,-0.4998
subtilis,12.8235,0.1242
subtilis,14.2905,0.1592
subtilis,3.6395,0.0767
subtilis,14.3097,-0.3272
subtilis,9.6896,-0.0419
subtilis,11.3257,0.0365
subtilis,9.6763,0.0373
subtilis,14.1086,-0.221
subtilis,12.1629,-0.068
subtilis,15.8305,-0.4897
subtilis,10.7904,0.4557
subtilis,14.1256,-0.2361
subtilis,10.9087,-0.1356
subtilis,15.6386,-0.322
subtilis,16.1457,-0.0276
subtilis,9.6838,-0.1203
subtilis,9.051,0.4416
subtilis,10.7344,0.0645
subtilis,17.5464,0.3087
subtilis,8.6914,-0.2893
subtilis,12.6428,-0.1185
subtilis,19.9736,0.0815
subtilis,22.0807,-0.435
subtilis,9.1706,0.4299
subtilis,16.692,0.2741
subtilis,8.98,-0.1972
subtilis,16.0917,0.3939
subtilis,9.6024,-0.2386
subtilis,14.5656,0.0906
subtilis,21.0937,-0.2756
subtilis,8.232,0.0682
subtilis,15.2688,0.2609
subtilis,15.3452,-0.2926
subtilis,15.8232,-0.3151
subtilis,15.908,-0.1497
subtilis,14.9478,0.3452
subtilis,7.8062,-0.2434
subtilis,12.3111,-0.1874
subtilis,10.4173,-0.0088
subtilis,12.1566,0.2303
subtilis,8.549,-0.0175
subtilis,16.1046,-0.1358
subtilis,13.3199,0.1352
subtilis,17.0461,-0.2115
subtilis,19.1413,0.2452
subtilis,15.3358,0.4789
subtilis,20.0638,0.2589
subtilis,14.1861,-0.3182
subtilis,16.9895,-0.008
subtilis,9.5436,-0.3055
subtilis,8.3462,0.428
subtilis,6.7169,-0.4513
subtilis,16.7314,-0.2068
subtilis,12.9741,0.1834
subtilis,14.2422,-0.2787
subtilis,20.0678,0.0427
subtilis,13.054,0.4637
subtilis,16.283,-0.296
subtilis,16.9075,-0.0865
subtilis,11.2221,-0.1005
subtilis,25.0235,0.3618
subtilis,13.4789,-0.3769
subtilis,17.1271,0.1751
subtilis,14.6432,0.1686
subtilis,11.5223,-0.2526
subtilis,12.0463,0.4649
subtilis,15.8636,-0.2239
subtilis,19.732,0.24
subtilis,10.47,0.0859
subtilis,15.155,-0.4966
subtilis,15.1183,0.3616
subtilis,7.1933,0.1155
subtilis,13.799,0.4134
subtilis,16.0838,0.0998
subtilis,24.884,-0.2339
subtilis,20.0854,-0.1049
subtilis,12.619,0.4483
subtilis,18.0045,-0.2195
subtilis,6.6402,0.0314
subtilis,16.1764,-0.49
subtilis,14.3059,-0.3131
subtilis,13.3392,-0.0884
subtilis,14.7528,-0.1778
subtilis,8.9374,0.3112
subtilis,10.419,0.4704
subtilis,15.6844,0.3441
subtilis,16.0254,0.1283
subtilis,12.7585,-0.1012
subtilis,8.7505,-0.3185
subtilis,17.9517,0.125
subtilis,9.7614,0.2679
subtilis,11.4965,-0.0783
subtilis,12.5831,-0.4818
subtilis,8.6569,0.338
subtilis,21.0836,-0.1329
subtilis,8.8202,0.4914
subtilis,10.593,-0.0579
subtilis,11.5135,-0.0573
subtilis,13.7771,0.2908
subtilis,13.4037,0.1375
subtilis,20.9973,0.055
subtilis,14.2057,-0.1945
subtilis,14.3029,0.4796
subtilis,9.4368,-0.3529
subtilis,7.7844,0.1862
subtilis,9.7091,0.3502
subtilis,7.8293,-0.4581
subtilis,9.8831,-0.0387
subtilis,13.5969,0.0122
subtilis,19.9024,-0.2699
subtilis,15.7249,-0.4753
subtilis,8.7267,0.4061
subtilis,12.8903,0.3621
subtilis,15.7592,-0.233
subtilis,12.207,-0.1217
subtilis,8.4069,-0.3843
subtilis,8.807,0.1003
subtilis,17.4814,0.2412
subtilis,23.9538,0.4699
subtilis,8.8328,0.4377
subtilis,22.0124,0.1301
subtilis,19.129,-0.1104
subtilis,20.891,-0.1541
subtilis,10.6314,-0.2233
subtilis,9.1618,-0.1707
subtilis,7.9645,-0.197
subtilis,16.6505,0.0953
subtilis,8.8075,0.3249
subtilis,9.5467,0.1325
subtilis,13.8723,-0.2083
subtilis,9.1723,-0.2408
subtilis,8.427,-0.1374
subtilis,7.1025,-0.3081
subtilis,6.9827,0.4486
subtilis,8.5527,0.1083
subtilis,16.4494,-0.2128
subtilis,8.981,-0.2398
subtilis,19.1667,-0.1253
subtilis,20.8342,0.1517
subtilis,16.2365,-0.0729
subtilis,8.6425,-0.099
subtilis,11.9579,-0.3075
subtilis,15.5334,0.2827
subtilis,17.4574,-0.2203
subtilis,19.3417,0.3118
subtilis,5.0504,-0.3809
subtilis,20.9715,0.0522
subtilis,8.7997,-0.0436
subtilis,16.2063,-0.4844
subtilis,14.1974,0.0605
subtilis,9.4952,-0.4643
subtilis,9.579,0.0535
subtilis,18.7957,-0.3619
subtilis,10.5072,-0.1182
subtilis,17.1255,0.1752
subtilis,7.2342,0.2612
subtilis,16.5585,-0.2299
subtilis,10.0758,0.4014
subtilis,16.8982,0.2359
subtilis,18.119,-0.0588
subtilis,8.5084,0.101
subtilis,12.1925,-0.2203
subtilis,17.2163,-0.3073
subtilis,3.7922,0.3579
subtilis,10.3892,0.0421
subtilis,14.7011,-0.3075
subtilis,17.5687,-0.0962
subtilis,11.1445,-0.0212
subtilis,10.5464,-0.4716
subtilis,13.8214,0.462
subtilis,12.5399,-0.3406
subtilis,11.4292,0.0911
subtilis,13.1341,-0.1468
subtilis,19.0759,-0.4348
subtilis,13.9785,0.213
subtilis,10.0172,-0.2752
subtilis,7.2597,0.0984
subtilis,8.2161,-0.0232
subtilis,10.5104,0.1301
subtilis,10.5368,-0.3827
subtilis,17.3061,0.2507
subtilis,19.6363,0.4999
subtilis,16.8456,0.0448
subtilis,14.7315,0.1602
subtilis,18.7735,-0.4969
subtilis,16.7882,-0.2812
subtilis,14.9844,-0.0493
subtilis,19.9309,0.4395
subtilis,10.9376,-0.4632
subtilis,13.9966,0.2114
subtilis,17.2075,-0.0881
subtilis,18.0919,-0.1177
subtilis,15.2841,0.2624
subtilis,12.599,0.2294
subtilis,16.8466,0.175
subtilis,10.2138,0.3943
subtilis,8.7399,-0.2816
subtilis,17.6575,0.2543
subtilis,18.4999,0.3121
subtilis,8.8299,-0.3244
subtilis,14.269,0.0564
subtilis,17.6194,0.2495
subtilis,22.1911,0.3533
subtilis,19.2676,0.0175
subtilis,15.2177,-0.2788
subtilis,15.6609,0.1683
subtilis,18.0231,-0.144
subtilis,10.3508,-0.2633
subtilis,16.4518,0.4999
subtilis,15.9772,-0.1534
subtilis,29.7211,-0.0161
subtilis,16.0052,-0.319
subtilis,20.8263,0.0942
subtilis,12.9025,-0.3851
subtilis,17.0956,0.0621
subtilis,16.0561,0.0276
subtilis,14.2634,-0.413
subtilis,9.1434,0.1202
subtilis,10.219,-0.2961
subtilis,7.6254,0.0923
subtilis,12.9332,-0.1813
subtilis,16.7365,0.4785
subtilis,17.1583,0.4269
subtilis,9.8724,-0.4348
subtilis,13.0795,0.2785
subtilis,12.7196,-0.0606
subtilis,17.043,0.3321
subtilis,15.0335,-0.4701
subtilis,13.2006,0.2388
subtilis,18.5977,0.061
subtilis,10.3587,0.0942
subtilis,8.8716,-0.0058
subtilis,13.8925,0.0908
subtilis,15.9852,0.3072
subtilis,17.6334,0.2562
subtilis,10.2529,-0.258
subtilis,13.14,-0.1242
subtilis,8.5646,-0.4953
subtilis,10.281,-0.0132
subtilis,18.1813,0.2223
subtilis,9.5655,-0.1408
subtilis,8.8053,-0.4128
subtilis,14.9804,0.3276
subtilis,16.0825,-0.279
subtilis,15.4642,-0.4498
subtilis,22.0293,-0.3135
subtilis,21.0047,0.4879
subtilis,11.5809,-0.3748
subtilis,11.7639,0.2318
subtilis,13.2151,0.3089
subtilis,17.2539,-0.0095
subtilis,16.0728,0.1844
subtilis,10.3973,0.4727
subtilis,12.0145,-0.3477
subtilis,18.0945,0.3859
subtilis,10.4859,-0.1223
subtilis,12.2288,0.4947
subtilis,14.1312,0.1846
subtilis,24.2908,0.0392
subtilis,17.0677,0.0015
subtilis,14.7437,0.1653
subtilis,20.0877,-0.3065
subtilis,15.2005,0.0724
subtilis,8.8898,-0.2079
subtilis,10.244,-0.4883
subtilis,24.4688,-0.1924
subtilis,19.9403,-0.0507
subtilis,16.0833,-0.3666
subtilis,13.9182,-0.3851
subtilis,10.7665,-0.424
subtilis,8.9433,0.0179
subtilis,17.4573,-0.061
subtilis,13.1477,-0.3851
subtilis,11.326,-0.4122
subtilis,16.8079,0.2232
subtilis,10.2383,-0.1407
subtilis,6.8182,0.4697
subtilis,21.1939,0.4601
subtilis,14.2321,-0.4382
subtilis,14.4353,0.4564
subtilis,9.074,0.379
subtilis,10.99,-0.1627
subtilis,11.0912,0.1405
subtilis,9.0166,0.0865
subtilis,8.5465,0.1705
subtilis,16.8432,-0.4653
subtilis,15.3614,0.0754
subtilis,11.2484,-0.3214
subtilis,13.0792,-0.3543
subtilis,8.614,0.077
subtilis,12.2175,-0.3979
subtilis,9.9319,0.336
subtilis,13.9901,0.2055
subtilis,16.5801,-0.2673
subtilis,18.6785,0.488
subtilis,14.5938,0.37
subtilis,10.97,-0.4875
subtilis,20.8969,0.4295
subtilis,10.8211,0.2393
subtilis,12.8081,-0.0628
subtilis,16.8578,0.2356
subtilis,14.7088,0.3671
subtilis,10.041,0.4291
subtilis,14.7851,-0.1308
subtilis,11.4902,-0.3018
subtilis,21.2361,0.146
subtilis,9.1509,0.2604
subtilis,11.6722,-0.4773
subtilis,11.2229,0.3099
subtilis,10.8994,0.0242
subtilis,10.0448,0.3589
subtilis,13.2441,0.074
subtilis,12.8066,-0.2118
subtilis,17.7519,0.4388
subtilis,15.5464,0.3742
subtilis,13.4326,-0.1894
subtilis,13.6256,-0.1138
subtilis,15.8687,0.2352
subtilis,17.1036,0.3797
subtilis,11.4943,0.4127
subtilis,12.6018,-0.2876
subtilis,20.5583,0.2064
subtilis,20.7468,0.2389
subtilis,16.0075,0.039
subtilis,14.6518,0.1463
subtilis,10.9692,-0.4265
subtilis,9.5147,-0.4718
subtilis,19.7907,0.0025
subtilis,17.479,0.028
subtilis,11.8929,-0.4316
subtilis,13.8237,-0.4608
subtilis,23.2726,-0.4474
subtilis,9.7752,-0.3044
subtilis,12.0387,0.3671
subtilis,11.3398,-0.2146
subtilis,11.71,-0.3653
subtilis,15.0475,-0.4108
subtilis,18.8672,-0.3956
subtilis,11.8734,-0.4269
subtilis,12.0707,0.2974
subtilis,12.4203,-0.0152
subtilis,15.3008,-0.2644
subtilis,9.5665,-0.4359
subtilis,7.7073,0.2366
subtilis,14.5243,0.3914
subtilis,16.7985,-0.0214
subtilis,9.7697,-0.0771
subtilis,14.2969,0.0218
subtilis,11.2955,-0.4995
subtilis,11.8339,-0.4109
subtilis,25.5377,-0.0494
subtilis,13.3934,0.1196
subtilis,10.7802,-0.4585
subtilis,26.3508,0.057
subtilis,7.6843,-0.0922
subtilis,19.8328,-0.2746
subtilis,18.339,0.2942
subtilis,10.4669,0.056
subtilis,8.5061,-0.2041
subtilis,8.4877,0.0746
subtilis,12.9114,-0.2919
subtilis,12.3016,-0.3872
subtilis,17.9924,-0.3347
subtilis,14.7309,0.1221
subtilis,22.9544,0.0836
subtilis,17.0224,0.0328
subtilis,23.2763,0.2666
subtilis,11.1029,-0.1194
subtilis,17.9284,-0.2842
subtilis,14.6306,-0.1502
subtilis,7.2966,-0.4457
subtilis,19.6935,-0.0484
subtilis,7.3062,0.3471
subtilis,12.892,-0.0149
subtilis,17.2998,-0.4799
subtilis,13.6395,-0.4907
subtilis,9.2521,0.229
subtilis,9.7826,-0.4931
subtilis,11.0256,0.3195
subtilis,11.8128,0.2425
subtilis,16.8039,0.3499
subtilis,13.6751,0.3491
subtilis,8.7718,-0.0716
subtilis,11.0329,-0.4925
subtilis,8.6482,-0.0984
subtilis,12.711,-0.2963
subtilis,17.0687,0.3108
subtilis,13.6318,0.4007
subtilis,15.2099,-0.2378
subtilis,8.0287,0.347
subtilis,19.7437,-0.1943
subtilis,14.2322,-0.1832
subtilis,14.2128,0.0921
subtilis,12.3149,-0.3043
subtilis,12.8757,-0.4124
subtilis,11.9481,-0.0515
subtilis,14.6952,0.4851
subtilis,21.1101,-0.4068
subtilis,12.2182,0.1279
subtilis,10.4601,0.0992
subtilis,9.2032,0.4046
subtilis,12.8009,0.0803
subtilis,14.6136,-0.0967
subtilis,13.0328,0.3451
subtilis,11.8279,0.2215
subtilis,10.6102,-0.4242
subtilis,14.4639,0.1444
subtilis,9.8349,0.1911
subtilis,16.8042,-0.0493
subtilis,17.2528,-0.0304
subtilis,12.1522,0.0418
subtilis,25.1068,0.0891
subtilis,6.8292,0.0984
subtilis,16.1155,0.2105
subtilis,15.922,0.4492
subtilis,7.4844,-0.2084
subtilis,8.2284,0.3691
subtilis,12.9248,0.3208
subtilis,16.2252,0.2803
subtilis,12.3847,0.0056
subtilis,11.9442,0.1004
subtilis,12.2253,0.3249
subtilis,9.2003,0.0384
subtilis,10.7382,-0.3141
subtilis,18.1863,-0.2271
subtilis,11.2466,0.2768
subtilis,12.0797,0.3647
subtilis,8.8339,-0.057
subtilis,12.3734,0.186
subtilis,13.1197,-0.4813
subtilis,13.8297,0.2686
subtilis,16.8334,0.4928
subtilis,8.8478,0.1145
subtilis,16.1253,0.3138
subtilis,14.7538,0.3055
subtilis,21.3174,-0.2443
subtilis,12.8234,0.2311
subtilis,12.2173,-0.3255
subtilis,13.4137,0.2892
subtilis,13.3095,0.0144
subtilis,11.69,0.1441
subtilis,12.1803,-0.2434
subtilis,10.7136,-0.2941
subtilis,12.6652,0.3008
subtilis,19.8624,-0.4608
subtilis,18.7009,0.0009
subtilis,21.0772,0.0684
subtilis,9.8719,0.3861
subtilis,19.0001,0.0084
subtilis,10.1166,-0.1592
subtilis,8.7994,-0.1167
subtilis,17.8259,0.1203
subtilis,9.2508,0.2967
subtilis,20.1016,0.1787
subtilis,17.5561,-0.1171
subtilis,11.6773,-0.1717
subtilis,20.2926,0.2519
subtilis,16.076,-0.0357
subtilis,8.5693,-0.0245
subtilis,17.8676,0.2629
subtilis,14.3073,-0.3951
subtilis,19.0053,-0.2788
subtilis,12.3216,0.4279
subtilis,10.9614,-0.2286
subtilis,13.1146,0.3011
subtilis,9.2187,0.4143
subtilis,7.7092,0.0792
subtilis,19.6786,-0.3697
subtilis,15.5434,-0.3644
subtilis,8.4405,0.1362
subtilis,11.4141,-0.0276
subtilis,21.2749,-0.4749
subtilis,10.9507,-0.2553
subtilis,16.1323,-0.3741
subtilis,11.6884,0.0198
subtilis,8.6109,0.1462
subtilis,7.1204,-0.2482
subtilis,9.7289,-0.0606
subtilis,12.3915,0.2313
subtilis,12.4849,-0.0922
subtilis,7.7979,-0.1107
subtilis,19.6278,-0.3399
subtilis,19.168,0.0339
subtilis,11.1751,0.4508
subtilis,7.8058,-0.2579
subtilis,23.7837,0.3906
subtilis,10.0443,-0.4832
subtilis,16.8001,0.1169
subtilis,8.218,-0.0063
subtilis,17.6728,0.1984
subtilis,15.4706,-0.0334
subtilis,14.3414,-0.315
subtilis,12.4507,-0.039
subtilis,11.4599,0.0528
subtilis,7.2044,0.0176
subtilis,16.9584,0.0737
subtilis,11.7056,0.4871
subtilis,11.514,-0.1407
subtilis,15.2663,0.3528
subtilis,16.8405,-0.2107
subtilis,8.3607,-0.3002
subtilis,8.2983,-0.1498
subtilis,11.3164,0.2949
subtilis,5.6872,-0.4935
subtilis,10.6139,0.2168
subtilis,10.0261,-0.4037
subtilis,16.2351,-0.4902
subtilis,11.8134,-0.3104
subtilis,19.2614,-0.1612
subtilis,17.9226,-0.0935
subtilis,8.3224,-0.0247
subtilis,19.9683,0.3556
subtilis,16.3396,-0.242
subtilis,20.5003,-0.0647
subtilis,13.3666,-0.0229
subtilis,11.8755,-0.2623
subtilis,16.3252,-0.4879
subtilis,14.5809,-0.0083
subtilis,14.2629,-0.2305
subtilis,13.0147,0.4116
subtilis,10.5094,-0.4388
subtilis,10.3555,-0.3049
subtilis,19.9397,0.428
subtilis,14.03,0.3195
subtilis,9.6881,-0.4719
subtilis,20.297,-0.4407
subtilis,17.6585,-0.0271
subtilis,17.6096,0.253
subtilis,21.9721,0.1468
subtilis,14.4221,0.2758
subtilis,15.1815,-0.2796
subtilis,12.9484,0.1557
subtilis,17.6578,-0.3781
subtilis,16.264,-0.1025
subtilis,9.2187,-0.3224
subtilis,9.9731,-0.2215
subtilis,11.6057,-0.2743
subtilis,8.6618,0.0242
subtilis,6.0529,-0.1134
subtilis,25.6186,0.1072
subtilis,11.0207,-0.0782
subtilis,11.8299,0.2864
subtilis,7.7016,-0.3559
subtilis,14.9547,0.464
subtilis,11.0091,0.2868
subtilis,12.4424,-0.0847
subtilis,25.6461,-0.361
subtilis,18.1265,-0.3494
subtilis,21.198,0.3924
subtilis,20.9075,0.32
subtilis,10.832,-0.2914
subtilis,14.2604,0.3526
subtilis,17.5237,-0.1931
subtilis,8.8219,0.1835
subtilis,20.1241,-0.3899
subtilis,10.9129,0.0961
subtilis,14.2749,-0.4424
subtilis,10.5103,0.4191
subtilis,9.9325,-0.3737
subtilis,9.9821,0.2551
subtilis,11.3857,-0.2774
