link_id,document_id,topic_id,weight,source_position,target_position
l155,d5,t9,0.659,0.09722,0.79191
l156,d5,t7,1.442,0.125,0.06258
l157,d5,t3,0.636,0.15278,0.09244
l158,d5,t9,1.058,0.18056,0.23409
l159,d5,t3,0.713,0.20833,0.3945
l160,d5,t8,1.083,0.23611,0.84583
l161,d5,t9,1.075,0.26389,0.78885
l162,d5,t7,1.23,0.29167,0.9557
l163,d5,t9,0.985,0.31944,0.28382
l164,d5,t9,0.609,0.34722,0.62076
l165,d5,t6,0.717,0.375,0.84579
l166,d5,t4,1.309,0.40278,0.62554
l167,d5,t7,1.146,0.43056,0.7191
l168,d5,t9,1.002,0.45833,0.84756
l169,d5,t9,0.923,0.48611,0.47308
l170,d5,t8,1.364,0.51389,0.96225
l171,d5,t8,1.12,0.54167,0.82371
l172,d5,t4,1.488,0.56944,0.23844
l173,d5,t0,0.67,0.59722,0.60555
l174,d5,t1,0.551,0.625,0.95163
l175,d5,t8,0.661,0.65278,0.87993
l176,d5,t9,1.471,0.68056,0.27313
l177,d5,t9,0.562,0.70833,0.8622
l178,d5,t9,1.288,0.73611,0.21045
l179,d5,t7,1.487,0.76389,0.86241
l180,d5,t9,1.257,0.79167,0.59717
l181,d5,t9,0.689,0.81944,0.66217
l182,d5,t9,0.874,0.84722,0.62719
l183,d5,t4,1.37,0.875,0.70463
l184,d5,t9,1.339,0.90278,0.94303
l185,d5,t9,0.964,0.93056,0.50168
l186,d5,t0,1.066,0.95833,0.08123
l187,d5,t9,0.693,0.98611,0.96185
l188,d6,t1,1.457,0.01087,0.21302
l189,d6,t8,0.981,0.03261,0.3008
l190,d6,t3,1.115,0.05435,0.64133
l191,d6,t9,0.758,0.07609,0.19298
l192,d6,t2,1.396,0.09783,0.9716
l193,d6,t9,1.363,0.11957,0.87016
l194,d6,t9,0.741,0.1413,0.55693
l195,d6,t3,0.997,0.16304,0.16648
l196,d6,t9,0.853,0.18478,0.15104
l197,d6,t9,1.393,0.20652,0.19229
l198,d6,t9,1.043,0.22826,0.65372
l199,d6,t2,0.647,0.25,0.84669
l200,d6,t3,0.798,0.27174,0.57038
l201,d6,t0,1.445,0.29348,0.51307
l202,d6,t5,1.075,0.31522,0.9715
l203,d6,t4,1.303,0.33696,0.07151
l204,d6,t8,1.142,0.3587,0.76748
l205,d6,t9,1.038,0.38043,0.74072
l206,d6,t4,0.915,0.40217,0.50037
l207,d6,t4,1.054,0.42391,0.19967
l208,d6,t0,0.985,0.44565,0.75144
l209,d6,t7,1.419,0.46739,0.39193
l210,d6,t8,1.256,0.48913,0.04338
l211,d6,t2,1.338,0.51087,0.82921
l212,d6,t3,1.243,0.53261,0.47872
l213,d6,t9,1.06,0.55435,0.04098
l214,d6,t9,0.711,0.57609,0.91897
l215,d6,t9,0.963,0.59783,0.7114
l216,d6,t9,1.404,0.61957,0.62268
l217,d6,t4,0.998,0.6413,0.33813
l218,d6,t7,1.144,0.66304,0.61893
l219,d6,t2,1.394,0.68478,0.6762
l220,d6,t6,0.796,0.70652,0.61009
l221,d6,t8,1.48,0.72826,0.84691
l222,d6,t9,0.774,0.75,0.82064
l223,d6,t8,0.869,0.77174,0.61362
l224,d6,t0,0.871,0.79348,0.57856
l225,d6,t9,0.791,0.81522,0.32676
l226,d6,t2,0.837,0.83696,0.94661
l227,d6,t3,1.396,0.8587,0.54674
l228,d6,t0,1.414,0.88043,0.40009
l229,d6,t2,1.307,0.90217,0.40379
l230,d6,t4,1.441,0.92391,0.75902
l231,d6,t0,1.48,0.94565,0.30064
l232,d6,t8,0.557,0.96739,0.60759
l233,d6,t9,0.907,0.98913,0.39236
l234,d7,t1,0.885,0.00758,0.92366
l235,d7,t5,1.438,0.02273,0.95563
l236,d7,t2,1.356,0.03788,0.0888
l237,d7,t5,1.104,0.05303,0.28363
l238,d7,t9,1.12,0.06818,0.27914
l239,d7,t7,0.78,0.08333,0.60626
l240,d7,t3,0.599,0.09848,0.13269
l241,d7,t3,0.961,0.11364,0.41645
l242,d7,t1,1.271,0.12879,0.50582
l243,d7,t9,0.9,0.14394,0.04275
l244,d7,t1,0.943,0.15909,0.06696
l245,d7,t3,1.176,0.17424,0.73199
l246,d7,t1,0.9,0.18939,0.86259
l247,d7,t3,1.172,0.20455,0.30557
l248,d7,t2,0.794,0.2197,0.4002
l249,d7,t2,0.603,0.23485,0.97477
l250,d7,t1,0.615,0.25,0.1483
l251,d7,t2,1.468,0.26515,0.34184
l252,d7,t8,1.325,0.2803,0.60976
l253,d7,t2,0.628,0.29545,0.72863
l254,d7,t3,1.5,0.31061,0.67899
l255,d7,t4,1.373,0.32576,0.30408
l256,d7,t4,1.209,0.34091,0.72869
l257,d7,t5,1.003,0.35606,0.13047
l258,d7,t8,0.916,0.37121,0.97047
l259,d7,t2,0.713,0.38636,0.63079
l260,d7,t3,0.984,0.40152,0.23897
l261,d7,t5,0.647,0.41667,0.76914
l262,d7,t3,1.381,0.43182,0.95513
l263,d7,t2,1.321,0.44697,0.43386
l264,d7,t4,0.911,0.46212,0.31561
l265,d7,t0,0.57,0.47727,0.91436
l266,d7,t2,1.148,0.49242,0.57836
l267,d7,t1,1.379,0.50758,0.731
l268,d7,t6,0.672,0.52273,0.43648
l269,d7,t0,1.203,0.53788,0.86371
l270,d7,t0,0.989,0.55303,0.67954
l271,d7,t0,0.697,0.56818,0.34455
l272,d7,t9,0.646,0.58333,0.2012
l273,d7,t9,0.99,0.59848,0.53203
l274,d7,t3,0.788,0.61364,0.31915
l275,d7,t2,1.041,0.62879,0.14163
l276,d7,t1,1.313,0.64394,0.66689
l277,d7,t9,1.082,0.65909,0.41228
l278,d7,t9,1.195,0.67424,0.07124
l279,d7,t3,0.588,0.68939,0.2829
l280,d7,t0,1.407,0.70455,0.48958
l281,d7,t3,1.005,0.7197,0.55508
l282,d7,t3,0.603,0.73485,0.06897
l283,d7,t0,0.799,0.75,0.50419
l284,d7,t9,1.112,0.76515,0.94167
l285,d7,t2,1.265,0.7803,0.18314
l286,d7,t9,0.74,0.79545,0.57506
l287,d7,t8,0.721,0.81061,0.35758
l288,d7,t3,1.424,0.82576,0.61095
l289,d7,t4,1.486,0.84091,0.79374
l290,d7,t0,0.657,0.85606,0.06756
l291,d7,t3,1.038,0.87121,0.28227
l292,d7,t3,0.574,0.88636,0.55841
l293,d7,t9,1.462,0.90152,0.2758
l294,d7,t2,1.021,0.91667,0.70152
l295,d7,t4,1.059,0.93182,0.73315
l296,d7,t8,0.644,0.94697,0.74084
l297,d7,t4,0.979,0.96212,0.97284
l298,d7,t5,1.173,0.97727,0.14682
l299,d7,t8,1.325,0.99242,0.94369
