marker,group,x,density
CD161,c2,0.0594,0.0026
CD161,c2,0.0959,0.00325
CD161,c2,0.1324,0.00404
CD161,c2,0.1689,0.00499
CD161,c2,0.2055,0.00614
CD161,c2,0.242,0.0075
CD161,c2,0.2785,0.00913
CD161,c2,0.3151,0.01104
CD161,c2,0.3516,0.01329
CD161,c2,0.3881,0.0159
CD161,c2,0.4247,0.01893
CD161,c2,0.4612,0.02242
CD161,c2,0.4977,0.02641
CD161,c2,0.5342,0.03094
CD161,c2,0.5708,0.03606
CD161,c2,0.6073,0.0418
CD161,c2,0.6438,0.0482
CD161,c2,0.6804,0.05528
CD161,c2,0.7169,0.06306
CD161,c2,0.7534,0.07155
CD161,c2,0.79,0.08076
CD161,c2,0.8265,0.09066
CD161,c2,0.863,0.10124
CD161,c2,0.8995,0.11245
CD161,c2,0.9361,0.12424
CD161,c2,0.9726,0.13653
CD161,c2,1.0091,0.14924
CD161,c2,1.0457,0.16226
CD161,c2,1.0822,0.17548
CD161,c2,1.1187,0.18877
CD161,c2,1.1553,0.20198
CD161,c2,1.1918,0.21497
CD161,c2,1.2283,0.22757
CD161,c2,1.2648,0.23964
CD161,c2,1.3014,0.25099
CD161,c2,1.3379,0.26149
CD161,c2,1.3744,0.27097
CD161,c2,1.411,0.27931
CD161,c2,1.4475,0.28636
CD161,c2,1.484,0.29204
CD161,c2,1.5205,0.29624
CD161,c2,1.5571,0.2989
CD161,c2,1.5936,0.29998
CD161,c2,1.6301,0.29946
CD161,c2,1.6667,0.29735
CD161,c2,1.7032,0.29368
CD161,c2,1.7397,0.28852
CD161,c2,1.7763,0.28194
CD161,c2,1.8128,0.27405
CD161,c2,1.8493,0.26496
CD161,c2,1.8858,0.25482
CD161,c2,1.9224,0.24378
CD161,c2,1.9589,0.23199
CD161,c2,1.9954,0.21963
CD161,c2,2.032,0.20686
CD161,c2,2.0685,0.19385
CD161,c2,2.105,0.18079
CD161,c2,2.1416,0.16784
CD161,c2,2.1781,0.15518
CD161,c2,2.2146,0.14298
CD161,c2,2.2511,0.13141
CD161,c2,2.2877,0.12065
CD161,c2,2.3242,0.11088
CD161,c2,2.3607,0.10231
CD161,c2,2.3973,0.09515
CD161,c2,2.4338,0.08964
CD161,c2,2.4703,0.08603
CD161,c2,2.5068,0.08462
CD161,c2,2.5434,0.08574
CD161,c2,2.5799,0.08975
CD161,c2,2.6164,0.09703
CD161,c2,2.653,0.10801
CD161,c2,2.6895,0.1231
CD161,c2,2.726,0.14274
CD161,c2,2.7626,0.16733
CD161,c2,2.7991,0.19723
CD161,c2,2.8356,0.23273
CD161,c2,2.8721,0.27402
CD161,c2,2.9087,0.32116
CD161,c2,2.9452,0.37403
CD161,c2,2.9817,0.43232
CD161,c2,3.0183,0.49554
CD161,c2,3.0548,0.56293
CD161,c2,3.0913,0.63351
CD161,c2,3.1279,0.7061
CD161,c2,3.1644,0.7793
CD161,c2,3.2009,0.85155
CD161,c2,3.2374,0.92117
CD161,c2,3.274,0.98643
CD161,c2,3.3105,1.04562
CD161,c2,3.347,1.09709
CD161,c2,3.3836,1.13936
CD161,c2,3.4201,1.1712
CD161,c2,3.4566,1.19162
CD161,c2,3.4932,1.20001
CD161,c2,3.5297,1.1961
CD161,c2,3.5662,1.18001
CD161,c2,3.6027,1.15221
CD161,c2,3.6393,1.11355
CD161,c2,3.6758,1.06517
CD161,c2,3.7123,1.00846
CD161,c2,3.7489,0.94499
CD161,c2,3.7854,0.87645
CD161,c2,3.8219,0.80455
CD161,c2,3.8584,0.73099
CD161,c2,3.895,0.65735
CD161,c2,3.9315,0.58507
CD161,c2,3.968,0.5154
CD161,c2,4.0046,0.44939
CD161,c2,4.0411,0.38781
CD161,c2,4.0776,0.33124
CD161,c2,4.1142,0.28003
CD161,c2,4.1507,0.23431
CD161,c2,4.1872,0.19404
CD161,c2,4.2237,0.15905
CD161,c2,4.2603,0.12903
CD161,c2,4.2968,0.10361
CD161,c2,4.3333,0.08234
CD161,c2,4.3699,0.06477
CD161,c2,4.4064,0.05043
CD161,c2,4.4429,0.03886
CD161,c2,4.4795,0.02964
CD161,c2,4.516,0.02237
CD161,c2,4.5525,0.01671
CD161,c2,4.589,0.01236
CD161,c2,4.6256,0.00905
CD161,c2,4.6621,0.00655
CD161,c2,4.6986,0.0047
CD161,c2,4.7352,0.00333
CD161,c2,4.7717,0.00234
CD161,c2,4.8082,0.00163
CD161,c2,4.8447,0.00112
CD161,c2,4.8813,0.00076
CD161,c2,4.9178,0.00051
CD161,c2,4.9543,0.00034
CD161,c2,4.9909,0.00023
CD161,c2,5.0274,0.00015
CD161,c2,5.0639,0.0001
CD161,c2,5.1005,6e-05
CD161,c2,5.137,4e-05
CD161,c2,5.1735,2e-05
CD161,c2,5.21,2e-05
CD161,c2,5.2466,1e-05
CD161,c2,5.2831,1e-05
CD161,c2,5.3196,0.0
CD161,c2,5.3562,0.0
CD161,c2,5.3927,0.0
CD161,c2,5.4292,0.0
CD161,c2,5.4658,0.0
CD161,c2,5.5023,0.0
CD161,c2,5.5388,0.0
CD161,c2,5.5753,0.0
CD161,c2,5.6119,0.0
CD161,c2,5.6484,0.0
CD161,c2,5.6849,0.0
CD161,c2,5.7215,0.0
CD161,c2,5.758,0.0
CD161,c2,5.7945,0.0
CD161,c2,5.8311,0.0
CD161,c2,5.8676,0.0
CD161,c2,5.9041,0.0
CD161,c2,5.9406,0.0
CD161,c2,5.9772,0.0
CD161,c2,6.0137,0.0
CD161,c2,6.0502,0.0
CD161,c2,6.0868,0.0
CD161,c2,6.1233,0.0
CD161,c2,6.1598,0.0
CD161,c2,6.1963,0.0
CD161,c2,6.2329,0.0
CD161,c2,6.2694,0.0
CD161,c2,6.3059,0.0
CD161,c2,6.3425,0.0
CD161,c2,6.379,0.0
CD161,c2,6.4155,0.0
CD161,c2,6.4521,0.0
CD161,c2,6.4886,0.0
CD161,c2,6.5251,0.0
CD161,c2,6.5616,0.0
CD161,c2,6.5982,0.0
CD161,c2,6.6347,0.0
CD161,c2,6.6712,0.0
CD161,c2,6.7078,0.0
CD161,c2,6.7443,0.0
CD161,c2,6.7808,0.0
CD161,c2,6.8174,0.0
CD161,c2,6.8539,0.0
CD161,c2,6.8904,0.0
CD161,c2,6.9269,0.0
CD161,c2,6.9635,0.0
CD161,c2,7.0,0.0
CD161,c3,-1.0,0.0
CD161,c3,-0.9635,0.0
CD161,c3,-0.9269,0.0
CD161,c3,-0.8904,0.0
CD161,c3,-0.8539,0.0
CD161,c3,-0.8174,0.0
CD161,c3,-0.7808,0.0
CD161,c3,-0.7443,0.0
CD161,c3,-0.7078,0.0
CD161,c3,-0.6712,0.0
CD161,c3,-0.6347,0.0
CD161,c3,-0.5982,0.0
CD161,c3,-0.5616,0.0
CD161,c3,-0.5251,0.0
CD161,c3,-0.4886,1e-05
CD161,c3,-0.4521,1e-05
CD161,c3,-0.4155,1e-05
CD161,c3,-0.379,1e-05
CD161,c3,-0.3425,1e-05
CD161,c3,-0.3059,2e-05
CD161,c3,-0.2694,2e-05
CD161,c3,-0.2329,3e-05
CD161,c3,-0.1963,4e-05
CD161,c3,-0.1598,5e-05
CD161,c3,-0.1233,6e-05
CD161,c3,-0.0868,7e-05
CD161,c3,-0.0502,9e-05
CD161,c3,-0.0137,0.00011
CD161,c3,0.0228,0.00014
CD161,c3,0.0594,0.00017
CD161,c3,0.0959,0.00021
CD161,c3,0.1324,0.00026
CD161,c3,0.1689,0.00032
CD161,c3,0.2055,0.00039
CD161,c3,0.242,0.00048
CD161,c3,0.2785,0.00058
CD161,c3,0.3151,0.0007
CD161,c3,0.3516,0.00085
CD161,c3,0.3881,0.00102
CD161,c3,0.4247,0.00122
CD161,c3,0.4612,0.00146
CD161,c3,0.4977,0.00174
CD161,c3,0.5342,0.00207
CD161,c3,0.5708,0.00244
CD161,c3,0.6073,0.00288
CD161,c3,0.6438,0.00339
CD161,c3,0.6804,0.00397
CD161,c3,0.7169,0.00464
CD161,c3,0.7534,0.00541
CD161,c3,0.79,0.00628
CD161,c3,0.8265,0.00727
CD161,c3,0.863,0.00839
CD161,c3,0.8995,0.00965
CD161,c3,0.9361,0.01107
CD161,c3,0.9726,0.01265
CD161,c3,1.0091,0.01441
CD161,c3,1.0457,0.01637
CD161,c3,1.0822,0.01853
CD161,c3,1.1187,0.02091
CD161,c3,1.1553,0.02353
CD161,c3,1.1918,0.02639
CD161,c3,1.2283,0.02951
CD161,c3,1.2648,0.03288
CD161,c3,1.3014,0.03653
CD161,c3,1.3379,0.04046
CD161,c3,1.3744,0.04467
CD161,c3,1.411,0.04916
CD161,c3,1.4475,0.05393
CD161,c3,1.484,0.05899
CD161,c3,1.5205,0.06431
CD161,c3,1.5571,0.0699
CD161,c3,1.5936,0.07574
CD161,c3,1.6301,0.08181
CD161,c3,1.6667,0.0881
CD161,c3,1.7032,0.09459
CD161,c3,1.7397,0.10125
CD161,c3,1.7763,0.10806
CD161,c3,1.8128,0.11498
CD161,c3,1.8493,0.12201
CD161,c3,1.8858,0.1291
CD161,c3,1.9224,0.13623
CD161,c3,1.9589,0.14338
CD161,c3,1.9954,0.15053
CD161,c3,2.032,0.15767
CD161,c3,2.0685,0.16479
CD161,c3,2.105,0.17189
CD161,c3,2.1416,0.17898
CD161,c3,2.1781,0.1861
CD161,c3,2.2146,0.19328
CD161,c3,2.2511,0.20058
CD161,c3,2.2877,0.20807
CD161,c3,2.3242,0.21584
CD161,c3,2.3607,0.22401
CD161,c3,2.3973,0.23272
CD161,c3,2.4338,0.24212
CD161,c3,2.4703,0.25239
CD161,c3,2.5068,0.26373
CD161,c3,2.5434,0.27635
CD161,c3,2.5799,0.29047
CD161,c3,2.6164,0.30635
CD161,c3,2.653,0.32423
CD161,c3,2.6895,0.34435
CD161,c3,2.726,0.36694
CD161,c3,2.7626,0.39224
CD161,c3,2.7991,0.42044
CD161,c3,2.8356,0.4517
CD161,c3,2.8721,0.48614
CD161,c3,2.9087,0.52384
CD161,c3,2.9452,0.5648
CD161,c3,2.9817,0.60895
CD161,c3,3.0183,0.65616
CD161,c3,3.0548,0.7062
CD161,c3,3.0913,0.75877
CD161,c3,3.1279,0.81347
CD161,c3,3.1644,0.8698
CD161,c3,3.2009,0.92722
CD161,c3,3.2374,0.98507
CD161,c3,3.274,1.04265
CD161,c3,3.3105,1.09919
CD161,c3,3.347,1.1539
CD161,c3,3.3836,1.20596
CD161,c3,3.4201,1.25454
CD161,c3,3.4566,1.29884
CD161,c3,3.4932,1.3381
CD161,c3,3.5297,1.37161
CD161,c3,3.5662,1.39875
CD161,c3,3.6027,1.41898
CD161,c3,3.6393,1.43189
CD161,c3,3.6758,1.43717
CD161,c3,3.7123,1.43467
CD161,c3,3.7489,1.42435
CD161,c3,3.7854,1.40633
CD161,c3,3.8219,1.38085
CD161,c3,3.8584,1.34829
CD161,c3,3.895,1.30913
CD161,c3,3.9315,1.26397
CD161,c3,3.968,1.2135
CD161,c3,4.0046,1.15846
CD161,c3,4.0411,1.09965
CD161,c3,4.0776,1.03789
CD161,c3,4.1142,0.97403
CD161,c3,4.1507,0.90889
CD161,c3,4.1872,0.84327
CD161,c3,4.2237,0.77791
CD161,c3,4.2603,0.71351
CD161,c3,4.2968,0.65069
CD161,c3,4.3333,0.59
CD161,c3,4.3699,0.53191
CD161,c3,4.4064,0.47678
CD161,c3,4.4429,0.42491
CD161,c3,4.4795,0.3765
CD161,c3,4.516,0.3317
CD161,c3,4.5525,0.29054
CD161,c3,4.589,0.25303
CD161,c3,4.6256,0.21909
CD161,c3,4.6621,0.18861
CD161,c3,4.6986,0.16143
CD161,c3,4.7352,0.13738
CD161,c3,4.7717,0.11624
CD161,c3,4.8082,0.09778
CD161,c3,4.8447,0.08178
CD161,c3,4.8813,0.068
CD161,c3,4.9178,0.05622
CD161,c3,4.9543,0.04621
CD161,c3,4.9909,0.03777
CD161,c3,5.0274,0.03069
CD161,c3,5.0639,0.02479
CD161,c3,5.1005,0.01991
CD161,c3,5.137,0.0159
CD161,c3,5.1735,0.01263
CD161,c3,5.21,0.00997
CD161,c3,5.2466,0.00782
CD161,c3,5.2831,0.0061
CD161,c3,5.3196,0.00473
CD161,c3,5.3562,0.00365
CD161,c3,5.3927,0.0028
CD161,c3,5.4292,0.00214
CD161,c3,5.4658,0.00162
CD161,c3,5.5023,0.00122
CD161,c3,5.5388,0.00091
CD161,c3,5.5753,0.00068
CD161,c3,5.6119,0.0005
CD161,c3,5.6484,0.00037
CD161,c3,5.6849,0.00027
CD161,c3,5.7215,0.0002
CD161,c3,5.758,0.00014
CD161,c3,5.7945,0.0001
CD161,c3,5.8311,7e-05
CD161,c3,5.8676,5e-05
CD161,c3,5.9041,4e-05
CD161,c3,5.9406,3e-05
CD161,c3,5.9772,2e-05
CD161,c3,6.0137,1e-05
CD161,c3,6.0502,1e-05
CD161,c3,6.0868,1e-05
CD161,c3,6.1233,0.0
CD161,c3,6.1598,0.0
CD161,c3,6.1963,0.0
CD161,c3,6.2329,0.0
CD161,c3,6.2694,0.0
CD161,c3,6.3059,0.0
CD161,c3,6.3425,0.0
CD161,c3,6.379,0.0
CD161,c3,6.4155,0.0
CD161,c3,6.4521,0.0
CD161,c3,6.4886,0.0
CD161,c3,6.5251,0.0
CD161,c3,6.5616,0.0
CD161,c3,6.5982,0.0
CD161,c3,6.6347,0.0
CD161,c3,6.6712,0.0
CD161,c3,6.7078,0.0
CD161,c3,6.7443,0.0
CD161,c3,6.7808,0.0
CD161,c3,6.8174,0.0
CD161,c3,6.8539,0.0
CD161,c3,6.8904,0.0
CD161,c3,6.9269,0.0
CD161,c3,6.9635,0.0
CD161,c3,7.0,0.0
CD161,c4,-1.0,0.0017
CD161,c4,-0.9635,0.00204
CD161,c4,-0.9269,0.00245
CD161,c4,-0.8904,0.00294
CD161,c4,-0.8539,0.0035
CD161,c4,-0.8174,0.00417
CD161,c4,-0.7808,0.00495
CD161,c4,-0.7443,0.00586
CD161,c4,-0.7078,0.00692
CD161,c4,-0.6712,0.00814
CD161,c4,-0.6347,0.00956
CD161,c4,-0.5982,0.0112
CD161,c4,-0.5616,0.01307
CD161,c4,-0.5251,0.01523
CD161,c4,-0.4886,0.01768
CD161,c4,-0.4521,0.02048
CD161,c4,-0.4155,0.02366
CD161,c4,-0.379,0.02725
CD161,c4,-0.3425,0.03131
CD161,c4,-0.3059,0.03587
CD161,c4,-0.2694,0.04098
CD161,c4,-0.2329,0.04669
CD161,c4,-0.1963,0.05306
CD161,c4,-0.1598,0.06013
CD161,c4,-0.1233,0.06796
CD161,c4,-0.0868,0.0766
CD161,c4,-0.0502,0.0861
CD161,c4,-0.0137,0.09652
CD161,c4,0.0228,0.1079
CD161,c4,0.0594,0.1203
CD161,c4,0.0959,0.13375
CD161,c4,0.1324,0.14831
CD161,c4,0.1689,0.16401
CD161,c4,0.2055,0.18087
CD161,c4,0.242,0.19892
CD161,c4,0.2785,0.21818
CD161,c4,0.3151,0.23866
CD161,c4,0.3516,0.26035
CD161,c4,0.3881,0.28323
CD161,c4,0.4247,0.30729
CD161,c4,0.4612,0.33249
CD161,c4,0.4977,0.35877
CD161,c4,0.5342,0.38608
CD161,c4,0.5708,0.41434
CD161,c4,0.6073,0.44346
CD161,c4,0.6438,0.47333
CD161,c4,0.6804,0.50384
CD161,c4,0.7169,0.53486
CD161,c4,0.7534,0.56625
CD161,c4,0.79,0.59785
CD161,c4,0.8265,0.62951
CD161,c4,0.863,0.66104
CD161,c4,0.8995,0.69227
CD161,c4,0.9361,0.72301
CD161,c4,0.9726,0.75307
CD161,c4,1.0091,0.78227
CD161,c4,1.0457,0.81041
CD161,c4,1.0822,0.8373
CD161,c4,1.1187,0.86278
CD161,c4,1.1553,0.88667
CD161,c4,1.1918,0.9088
CD161,c4,1.2283,0.92904
CD161,c4,1.2648,0.94726
CD161,c4,1.3014,0.96335
CD161,c4,1.3379,0.97722
CD161,c4,1.3744,0.98881
CD161,c4,1.411,0.99808
CD161,c4,1.4475,1.00503
CD161,c4,1.484,1.00967
CD161,c4,1.5205,1.01204
CD161,c4,1.5571,1.01221
CD161,c4,1.5936,1.01028
CD161,c4,1.6301,1.00636
CD161,c4,1.6667,1.00059
CD161,c4,1.7032,0.99312
CD161,c4,1.7397,0.98411
CD161,c4,1.7763,0.97373
CD161,c4,1.8128,0.96214
CD161,c4,1.8493,0.94951
CD161,c4,1.8858,0.93598
CD161,c4,1.9224,0.9217
CD161,c4,1.9589,0.90676
CD161,c4,1.9954,0.89127
CD161,c4,2.032,0.87527
CD161,c4,2.0685,0.8588
CD161,c4,2.105,0.84184
CD161,c4,2.1416,0.82438
CD161,c4,2.1781,0.80636
CD161,c4,2.2146,0.78769
CD161,c4,2.2511,0.76831
CD161,c4,2.2877,0.7481
CD161,c4,2.3242,0.72697
CD161,c4,2.3607,0.70485
CD161,c4,2.3973,0.68166
CD161,c4,2.4338,0.65735
CD161,c4,2.4703,0.63192
CD161,c4,2.5068,0.60539
CD161,c4,2.5434,0.57781
CD161,c4,2.5799,0.54928
CD161,c4,2.6164,0.51994
CD161,c4,2.653,0.48994
CD161,c4,2.6895,0.4595
CD161,c4,2.726,0.42882
CD161,c4,2.7626,0.39815
CD161,c4,2.7991,0.36773
CD161,c4,2.8356,0.3378
CD161,c4,2.8721,0.3086
CD161,c4,2.9087,0.28036
CD161,c4,2.9452,0.25326
CD161,c4,2.9817,0.22748
CD161,c4,3.0183,0.20316
CD161,c4,3.0548,0.18041
CD161,c4,3.0913,0.1593
CD161,c4,3.1279,0.13987
CD161,c4,3.1644,0.12214
CD161,c4,3.2009,0.10608
CD161,c4,3.2374,0.09164
CD161,c4,3.274,0.07876
CD161,c4,3.3105,0.06736
CD161,c4,3.347,0.05733
CD161,c4,3.3836,0.04858
CD161,c4,3.4201,0.04098
CD161,c4,3.4566,0.03443
CD161,c4,3.4932,0.02882
CD161,c4,3.5297,0.02404
CD161,c4,3.5662,0.01999
CD161,c4,3.6027,0.01657
CD161,c4,3.6393,0.0137
CD161,c4,3.6758,0.0113
CD161,c4,3.7123,0.00931
CD161,c4,3.7489,0.00765
CD161,c4,3.7854,0.00628
CD161,c4,3.8219,0.00514
CD161,c4,3.8584,0.00421
CD161,c4,3.895,0.00344
CD161,c4,3.9315,0.00281
CD161,c4,3.968,0.0023
CD161,c4,4.0046,0.00187
CD161,c4,4.0411,0.00153
CD161,c4,4.0776,0.00124
CD161,c4,4.1142,0.00101
CD161,c4,4.1507,0.00082
CD161,c4,4.1872,0.00067
CD161,c4,4.2237,0.00054
CD161,c4,4.2603,0.00044
CD161,c4,4.2968,0.00035
CD161,c4,4.3333,0.00028
CD161,c4,4.3699,0.00023
CD161,c4,4.4064,0.00018
CD161,c4,4.4429,0.00015
CD161,c4,4.4795,0.00012
CD161,c4,4.516,9e-05
CD161,c4,4.5525,7e-05
CD161,c4,4.589,6e-05
CD161,c4,4.6256,5e-05
CD161,c4,4.6621,4e-05
CD161,c4,4.6986,3e-05
CD161,c4,4.7352,2e-05
CD161,c4,4.7717,2e-05
CD161,c4,4.8082,1e-05
CD161,c4,4.8447,1e-05
CD161,c4,4.8813,1e-05
CD161,c4,4.9178,1e-05
CD161,c4,4.9543,1e-05
CD161,c4,4.9909,0.0
CD161,c4,5.0274,0.0
CD161,c4,5.0639,0.0
CD161,c4,5.1005,0.0
