marker,group,condition,x,density
IFN-γ,ILC3,+,1.2493,1.01902
IFN-γ,ILC3,+,1.2804,0.98276
IFN-γ,ILC3,+,1.3114,0.93772
IFN-γ,ILC3,+,1.3425,0.8862
IFN-γ,ILC3,+,1.3735,0.83062
IFN-γ,ILC3,+,1.4046,0.77336
IFN-γ,ILC3,+,1.4356,0.71664
IFN-γ,ILC3,+,1.4667,0.66235
IFN-γ,ILC3,+,1.4977,0.61206
IFN-γ,ILC3,+,1.5288,0.56687
IFN-γ,ILC3,+,1.5598,0.52752
IFN-γ,ILC3,+,1.5909,0.49431
IFN-γ,ILC3,+,1.6219,0.46722
IFN-γ,ILC3,+,1.653,0.44594
IFN-γ,ILC3,+,1.684,0.42993
IFN-γ,ILC3,+,1.7151,0.41852
IFN-γ,ILC3,+,1.7461,0.41095
IFN-γ,ILC3,+,1.7772,0.40646
IFN-γ,ILC3,+,1.8082,0.40428
IFN-γ,ILC3,+,1.8393,0.40373
IFN-γ,ILC3,+,1.8703,0.40417
IFN-γ,ILC3,+,1.9014,0.40508
IFN-γ,ILC3,+,1.9324,0.40601
IFN-γ,ILC3,+,1.9635,0.40663
IFN-γ,ILC3,+,1.9945,0.40666
IFN-γ,ILC3,+,2.0256,0.40592
IFN-γ,ILC3,+,2.0566,0.40427
IFN-γ,ILC3,+,2.0877,0.40167
IFN-γ,ILC3,+,2.1187,0.39808
IFN-γ,ILC3,+,2.1498,0.39354
IFN-γ,ILC3,+,2.1808,0.38809
IFN-γ,ILC3,+,2.2119,0.38181
IFN-γ,ILC3,+,2.2429,0.37482
IFN-γ,ILC3,+,2.274,0.36722
IFN-γ,ILC3,+,2.305,0.35915
IFN-γ,ILC3,+,2.3361,0.35074
IFN-γ,ILC3,+,2.3671,0.34215
IFN-γ,ILC3,+,2.3982,0.3335
IFN-γ,ILC3,+,2.4292,0.32496
IFN-γ,ILC3,+,2.4603,0.31665
IFN-γ,ILC3,+,2.4913,0.3087
IFN-γ,ILC3,+,2.5224,0.30123
IFN-γ,ILC3,+,2.5534,0.29435
IFN-γ,ILC3,+,2.5845,0.28815
IFN-γ,ILC3,+,2.6155,0.28269
IFN-γ,ILC3,+,2.6466,0.27804
IFN-γ,ILC3,+,2.6776,0.27421
IFN-γ,ILC3,+,2.7087,0.27122
IFN-γ,ILC3,+,2.7397,0.26906
IFN-γ,ILC3,+,2.7708,0.26769
IFN-γ,ILC3,+,2.8018,0.26706
IFN-γ,ILC3,+,2.8329,0.26709
IFN-γ,ILC3,+,2.8639,0.26769
IFN-γ,ILC3,+,2.895,0.26875
IFN-γ,ILC3,+,2.926,0.27015
IFN-γ,ILC3,+,2.9571,0.27176
IFN-γ,ILC3,+,2.9881,0.27344
IFN-γ,ILC3,+,3.0192,0.27506
IFN-γ,ILC3,+,3.0502,0.27646
IFN-γ,ILC3,+,3.0813,0.27752
IFN-γ,ILC3,+,3.1123,0.2781
IFN-γ,ILC3,+,3.1434,0.27809
IFN-γ,ILC3,+,3.1744,0.27739
IFN-γ,ILC3,+,3.2055,0.27589
IFN-γ,ILC3,+,3.2365,0.27355
IFN-γ,ILC3,+,3.2676,0.27029
IFN-γ,ILC3,+,3.2986,0.2661
IFN-γ,ILC3,+,3.3297,0.26096
IFN-γ,ILC3,+,3.3607,0.25488
IFN-γ,ILC3,+,3.3918,0.2479
IFN-γ,ILC3,+,3.4228,0.24007
IFN-γ,ILC3,+,3.4539,0.23145
IFN-γ,ILC3,+,3.4849,0.22212
IFN-γ,ILC3,+,3.516,0.21218
IFN-γ,ILC3,+,3.547,0.20172
IFN-γ,ILC3,+,3.5781,0.19087
IFN-γ,ILC3,+,3.6091,0.17972
IFN-γ,ILC3,+,3.6402,0.1684
IFN-γ,ILC3,+,3.6712,0.15701
IFN-γ,ILC3,+,3.7023,0.14567
IFN-γ,ILC3,+,3.7333,0.13447
IFN-γ,ILC3,+,3.7644,0.1235
IFN-γ,ILC3,+,3.7954,0.11286
IFN-γ,ILC3,+,3.8265,0.10261
IFN-γ,ILC3,+,3.8575,0.09282
IFN-γ,ILC3,+,3.8886,0.08354
IFN-γ,ILC3,+,3.9196,0.0748
IFN-γ,ILC3,+,3.9507,0.06663
IFN-γ,ILC3,+,3.9817,0.05905
IFN-γ,ILC3,+,4.0128,0.05206
IFN-γ,ILC3,+,4.0438,0.04566
IFN-γ,ILC3,+,4.0749,0.03984
IFN-γ,ILC3,+,4.1059,0.03459
IFN-γ,ILC3,+,4.137,0.02987
IFN-γ,ILC3,+,4.168,0.02566
IFN-γ,ILC3,+,4.1991,0.02193
IFN-γ,ILC3,+,4.2301,0.01865
IFN-γ,ILC3,+,4.2612,0.01578
IFN-γ,ILC3,+,4.2922,0.01327
IFN-γ,ILC3,+,4.3233,0.01111
IFN-γ,ILC3,+,4.3543,0.00925
IFN-γ,ILC3,+,4.3854,0.00767
IFN-γ,ILC3,+,4.4164,0.00632
IFN-γ,ILC3,+,4.4475,0.00518
IFN-γ,ILC3,+,4.4785,0.00423
IFN-γ,ILC3,+,4.5096,0.00343
IFN-γ,ILC3,+,4.5406,0.00277
IFN-γ,ILC3,+,4.5717,0.00222
IFN-γ,ILC3,+,4.6027,0.00178
IFN-γ,ILC3,+,4.6338,0.00141
IFN-γ,ILC3,+,4.6648,0.00112
IFN-γ,ILC3,+,4.6959,0.00088
IFN-γ,ILC3,+,4.7269,0.00069
IFN-γ,ILC3,+,4.758,0.00053
IFN-γ,ILC3,+,4.789,0.00041
IFN-γ,ILC3,+,4.8201,0.00032
IFN-γ,ILC3,+,4.8511,0.00024
IFN-γ,ILC3,+,4.8822,0.00019
IFN-γ,ILC3,+,4.9132,0.00014
IFN-γ,ILC3,+,4.9443,0.00011
IFN-γ,ILC3,+,4.9753,8e-05
IFN-γ,ILC3,+,5.0064,6e-05
IFN-γ,ILC3,+,5.0374,4e-05
IFN-γ,ILC3,+,5.0685,3e-05
IFN-γ,ILC3,+,5.0995,2e-05
IFN-γ,ILC3,+,5.1306,2e-05
IFN-γ,ILC3,+,5.1616,1e-05
IFN-γ,ILC3,+,5.1927,1e-05
IFN-γ,ILC3,+,5.2237,1e-05
IFN-γ,ILC3,+,5.2548,0.0
IFN-γ,ILC3,+,5.2858,0.0
IFN-γ,ILC3,+,5.3169,0.0
IFN-γ,ILC3,+,5.3479,0.0
IFN-γ,ILC3,+,5.379,0.0
IFN-γ,ILC3,+,5.41,0.0
IFN-γ,ILC3,+,5.4411,0.0
IFN-γ,ILC3,+,5.4721,0.0
IFN-γ,ILC3,+,5.5032,0.0
IFN-γ,ILC3,+,5.5342,0.0
IFN-γ,ILC3,+,5.5653,0.0
IFN-γ,ILC3,+,5.5963,0.0
IFN-γ,ILC3,+,5.6274,0.0
IFN-γ,ILC3,+,5.6584,0.0
IFN-γ,ILC3,+,5.6895,0.0
IFN-γ,ILC3,+,5.7205,0.0
IFN-γ,ILC3,+,5.7516,0.0
IFN-γ,ILC3,+,5.7826,0.0
IFN-γ,ILC3,+,5.8137,0.0
IFN-γ,ILC3,+,5.8447,0.0
IFN-γ,ILC3,+,5.8758,0.0
IFN-γ,ILC3,+,5.9068,0.0
IFN-γ,ILC3,+,5.9379,0.0
IFN-γ,ILC3,+,5.9689,0.0
IFN-γ,ILC3,+,6.0,0.0
IFN-γ,ILC2,−,-0.8,0.0
IFN-γ,ILC2,−,-0.7689,0.0
IFN-γ,ILC2,−,-0.7379,0.0
IFN-γ,ILC2,−,-0.7068,0.0
IFN-γ,ILC2,−,-0.6758,0.0
IFN-γ,ILC2,−,-0.6447,0.0
IFN-γ,ILC2,−,-0.6137,0.0
IFN-γ,ILC2,−,-0.5826,0.0
IFN-γ,ILC2,−,-0.5516,0.0
IFN-γ,ILC2,−,-0.5205,0.0
IFN-γ,ILC2,−,-0.4895,0.0
IFN-γ,ILC2,−,-0.4584,0.0
IFN-γ,ILC2,−,-0.4274,0.0
IFN-γ,ILC2,−,-0.3963,0.0
IFN-γ,ILC2,−,-0.3653,0.0
IFN-γ,ILC2,−,-0.3342,0.0
IFN-γ,ILC2,−,-0.3032,0.0
IFN-γ,ILC2,−,-0.2721,0.0
IFN-γ,ILC2,−,-0.2411,0.0
IFN-γ,ILC2,−,-0.21,0.0
IFN-γ,ILC2,−,-0.179,0.0
IFN-γ,ILC2,−,-0.1479,0.0
IFN-γ,ILC2,−,-0.1169,0.0
IFN-γ,ILC2,−,-0.0858,0.0
IFN-γ,ILC2,−,-0.0548,0.0
IFN-γ,ILC2,−,-0.0237,0.0
IFN-γ,ILC2,−,0.0073,0.0
IFN-γ,ILC2,−,0.0384,0.0
IFN-γ,ILC2,−,0.0694,1e-05
IFN-γ,ILC2,−,0.1005,1e-05
IFN-γ,ILC2,−,0.1315,2e-05
IFN-γ,ILC2,−,0.1626,3e-05
IFN-γ,ILC2,−,0.1936,5e-05
IFN-γ,ILC2,−,0.2247,9e-05
IFN-γ,ILC2,−,0.2557,0.00015
IFN-γ,ILC2,−,0.2868,0.00026
IFN-γ,ILC2,−,0.3178,0.00042
IFN-γ,ILC2,−,0.3489,0.00067
IFN-γ,ILC2,−,0.3799,0.00107
IFN-γ,ILC2,−,0.411,0.00167
IFN-γ,ILC2,−,0.442,0.00256
IFN-γ,ILC2,−,0.4731,0.00386
IFN-γ,ILC2,−,0.5041,0.00573
IFN-γ,ILC2,−,0.5352,0.00836
IFN-γ,ILC2,−,0.5662,0.01199
IFN-γ,ILC2,−,0.5973,0.01691
IFN-γ,ILC2,−,0.6283,0.02346
IFN-γ,ILC2,−,0.6594,0.03201
IFN-γ,ILC2,−,0.6904,0.04294
IFN-γ,ILC2,−,0.7215,0.05665
IFN-γ,ILC2,−,0.7525,0.0735
IFN-γ,ILC2,−,0.7836,0.09378
IFN-γ,ILC2,−,0.8146,0.11767
IFN-γ,ILC2,−,0.8457,0.14519
IFN-γ,ILC2,−,0.8767,0.17617
IFN-γ,ILC2,−,0.9078,0.21021
IFN-γ,ILC2,−,0.9388,0.24667
IFN-γ,ILC2,−,0.9699,0.28465
IFN-γ,ILC2,−,1.0009,0.32303
IFN-γ,ILC2,−,1.032,0.3605
IFN-γ,ILC2,−,1.063,0.39563
IFN-γ,ILC2,−,1.0941,0.42698
IFN-γ,ILC2,−,1.1251,0.45316
IFN-γ,ILC2,−,1.1562,0.47297
IFN-γ,ILC2,−,1.1872,0.48545
IFN-γ,ILC2,−,1.2183,0.48999
IFN-γ,ILC2,−,1.2493,0.48636
IFN-γ,ILC2,−,1.2804,0.47474
IFN-γ,ILC2,−,1.3114,0.45571
IFN-γ,ILC2,−,1.3425,0.43019
IFN-γ,ILC2,−,1.3735,0.39935
IFN-γ,ILC2,−,1.4046,0.36457
IFN-γ,ILC2,−,1.4356,0.32729
IFN-γ,ILC2,−,1.4667,0.28895
IFN-γ,ILC2,−,1.4977,0.25086
IFN-γ,ILC2,−,1.5288,0.21418
IFN-γ,ILC2,−,1.5598,0.17983
IFN-γ,ILC2,−,1.5909,0.14848
IFN-γ,ILC2,−,1.6219,0.12056
IFN-γ,ILC2,−,1.653,0.09627
IFN-γ,ILC2,−,1.684,0.07559
IFN-γ,ILC2,−,1.7151,0.05837
IFN-γ,ILC2,−,1.7461,0.04433
IFN-γ,ILC2,−,1.7772,0.0331
IFN-γ,ILC2,−,1.8082,0.02431
IFN-γ,ILC2,−,1.8393,0.01756
IFN-γ,ILC2,−,1.8703,0.01247
IFN-γ,ILC2,−,1.9014,0.00871
IFN-γ,ILC2,−,1.9324,0.00598
IFN-γ,ILC2,−,1.9635,0.00404
IFN-γ,ILC2,−,1.9945,0.00268
IFN-γ,ILC2,−,2.0256,0.00175
IFN-γ,ILC2,−,2.0566,0.00113
IFN-γ,ILC2,−,2.0877,0.00071
IFN-γ,ILC2,−,2.1187,0.00044
IFN-γ,ILC2,−,2.1498,0.00027
IFN-γ,ILC2,−,2.1808,0.00016
IFN-γ,ILC2,−,2.2119,0.0001
IFN-γ,ILC2,−,2.2429,6e-05
IFN-γ,ILC2,−,2.274,3e-05
IFN-γ,ILC2,−,2.305,2e-05
IFN-γ,ILC2,−,2.3361,1e-05
IFN-γ,ILC2,−,2.3671,1e-05
IFN-γ,ILC2,−,2.3982,0.0
IFN-γ,ILC2,−,2.4292,0.0
IFN-γ,ILC2,−,2.4603,0.0
IFN-γ,ILC2,−,2.4913,0.0
IFN-γ,ILC2,−,2.5224,0.0
IFN-γ,ILC2,−,2.5534,0.0
IFN-γ,ILC2,−,2.5845,0.0
IFN-γ,ILC2,−,2.6155,0.0
IFN-γ,ILC2,−,2.6466,0.0
IFN-γ,ILC2,−,2.6776,0.0
IFN-γ,ILC2,−,2.7087,0.0
IFN-γ,ILC2,−,2.7397,0.0
IFN-γ,ILC2,−,2.7708,0.0
IFN-γ,ILC2,−,2.8018,0.0
IFN-γ,ILC2,−,2.8329,0.0
IFN-γ,ILC2,−,2.8639,0.0
IFN-γ,ILC2,−,2.895,0.0
IFN-γ,ILC2,−,2.926,0.0
IFN-γ,ILC2,−,2.9571,0.0
IFN-γ,ILC2,−,2.9881,0.0
IFN-γ,ILC2,−,3.0192,0.0
IFN-γ,ILC2,−,3.0502,0.0
IFN-γ,ILC2,−,3.0813,0.0
IFN-γ,ILC2,−,3.1123,0.0
IFN-γ,ILC2,−,3.1434,0.0
IFN-γ,ILC2,−,3.1744,0.0
IFN-γ,ILC2,−,3.2055,0.0
IFN-γ,ILC2,−,3.2365,0.0
IFN-γ,ILC2,−,3.2676,0.0
IFN-γ,ILC2,−,3.2986,0.0
IFN-γ,ILC2,−,3.3297,0.0
IFN-γ,ILC2,−,3.3607,0.0
IFN-γ,ILC2,−,3.3918,0.0
IFN-γ,ILC2,−,3.4228,0.0
IFN-γ,ILC2,−,3.4539,0.0
IFN-γ,ILC2,−,3.4849,0.0
IFN-γ,ILC2,−,3.516,0.0
IFN-γ,ILC2,−,3.547,0.0
IFN-γ,ILC2,−,3.5781,0.0
IFN-γ,ILC2,−,3.6091,0.0
IFN-γ,ILC2,−,3.6402,0.0
IFN-γ,ILC2,−,3.6712,0.0
IFN-γ,ILC2,−,3.7023,0.0
IFN-γ,ILC2,−,3.7333,0.0
IFN-γ,ILC2,−,3.7644,0.0
IFN-γ,ILC2,−,3.7954,0.0
IFN-γ,ILC2,−,3.8265,0.0
IFN-γ,ILC2,−,3.8575,0.0
IFN-γ,ILC2,−,3.8886,0.0
